timestamp,seq,mode,board,cam,meas_idx,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,raw_bbox_w,raw_bbox_h,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,clipped_bbox_w,clipped_bbox_h,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_cx,bbox_cy,bbox_w,bbox_h,is_edge_bbox,visible_ratio,mono_dist,meas_az,meas_el
1780474098.042534,,,BOARD_1,2,0,2849.000,1390.000,3085.000,1866.000,236.000,476.000,2849.000,1390.000,3085.000,1866.000,236.000,476.000,2849.000,1390.000,3085.000,1866.000,2967.000,1628.000,236.000,476.000,0,1.000000,26.430000,4.771484,-2.511667
1780474099.954875,,,BOARD_1,2,0,2841.000,1382.000,3077.000,1858.000,236.000,476.000,2841.000,1382.000,3077.000,1858.000,236.000,476.000,2841.000,1382.000,3077.000,1858.000,2959.000,1620.000,236.000,476.000,0,1.000000,26.430000,4.735026,-2.475000
1780474099.954875,,,BOARD_1,2,1,2839.000,1380.000,3075.000,1856.000,236.000,476.000,2839.000,1380.000,3075.000,1856.000,236.000,476.000,2839.000,1380.000,3075.000,1856.000,2957.000,1618.000,236.000,476.000,0,1.000000,26.430000,4.725911,-2.465833
1780474101.348692,,,BOARD_1,2,0,2842.000,1386.000,3078.000,1862.000,236.000,476.000,2842.000,1386.000,3078.000,1862.000,236.000,476.000,2842.000,1386.000,3078.000,1862.000,2960.000,1624.000,236.000,476.000,0,1.000000,26.430000,4.739583,-2.493333
1780474101.348692,,,BOARD_1,2,1,2845.000,1387.000,3081.000,1863.000,236.000,476.000,2845.000,1387.000,3081.000,1863.000,236.000,476.000,2845.000,1387.000,3081.000,1863.000,2963.000,1625.000,236.000,476.000,0,1.000000,26.430000,4.753255,-2.497917
1780474103.136179,,,BOARD_1,2,0,2846.000,1388.000,3082.000,1864.000,236.000,476.000,2846.000,1388.000,3082.000,1864.000,236.000,476.000,2846.000,1388.000,3082.000,1864.000,2964.000,1626.000,236.000,476.000,0,1.000000,26.430000,4.757812,-2.502500
1780474103.136179,,,BOARD_1,2,1,2848.000,1388.000,3084.000,1864.000,236.000,476.000,2848.000,1388.000,3084.000,1864.000,236.000,476.000,2848.000,1388.000,3084.000,1864.000,2966.000,1626.000,236.000,476.000,0,1.000000,26.430000,4.766927,-2.502500
1780474103.467451,,,BOARD_1,2,0,2843.000,1386.000,3079.000,1862.000,236.000,476.000,2843.000,1386.000,3079.000,1862.000,236.000,476.000,2843.000,1386.000,3079.000,1862.000,2961.000,1624.000,236.000,476.000,0,1.000000,26.430000,4.744141,-2.493333
1780474103.467451,,,BOARD_1,2,1,2379.000,1322.000,2615.000,1798.000,236.000,476.000,2379.000,1322.000,2615.000,1798.000,236.000,476.000,2379.000,1322.000,2615.000,1798.000,2497.000,1560.000,236.000,476.000,0,1.000000,26.430000,2.629557,-2.200000
1780474104.947557,,,BOARD_1,2,0,2843.000,1386.000,3079.000,1862.000,236.000,476.000,2843.000,1386.000,3079.000,1862.000,236.000,476.000,2843.000,1386.000,3079.000,1862.000,2961.000,1624.000,236.000,476.000,0,1.000000,26.430000,4.744141,-2.493333
1780474104.947557,,,BOARD_1,2,1,2379.000,1322.000,2615.000,1798.000,236.000,476.000,2379.000,1322.000,2615.000,1798.000,236.000,476.000,2379.000,1322.000,2615.000,1798.000,2497.000,1560.000,236.000,476.000,0,1.000000,26.430000,2.629557,-2.200000
