timestamp,seq,mode,event,track_id,meas_idx,meas_az,meas_el,pred_az,map_az,pred_el,cost,dynamic_thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,reason,internal_track_id,ui_id,master_id,is_master,laser_track_id,distance,distance_source,track_laser_dist,track_laser_ts,track_laser_age,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,is_edge_bbox,visible_ratio
1780564976.254057,,,NEW_TRACK,1,0,17.867478,-2.713333,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780564976.766640,,,MATCH_REJECT,1,1,347.729470,-1.663750,17.867478,,-2.713333,30.156279,7.768222,2.512148,3.155444,3.155444,1,2,,,,,,,,,,,,,,,,,,,,,
1780564976.766640,,,NEW_TRACK,2,0,345.159157,-1.205417,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780564976.767145,,,NEW_TRACK,3,1,347.729470,-1.663750,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780564978.624619,,,MATCH_ACCEPT,1,0,19.394171,-2.772917,17.867478,,-2.713333,1.527855,20.192246,10.794831,58.264185,58.264185,0,11,,,,,,,,,,,,,,,,,,,,,
1780564985.557960,,,BBOX_CLIPPED,,0,,,,,,,,,,,,,bbox_out_of_image_bounds,,,,,,,,,,,-20.000,34.000,100.000,278.000,0.000,34.000,100.000,278.000,1,0.833333
1780564985.557960,,,BBOX_CLIPPED,,1,,,,,,,,,,,,,bbox_out_of_image_bounds,,,,,,,,,,,-12.000,220.000,51.000,340.000,0.000,220.000,51.000,340.000,1,0.809524
1780564985.558464,,,MATCH_ACCEPT,2,1,335.208311,3.666667,345.159157,,-1.205417,11.079555,70.718320,44.478880,989.185372,989.185372,0,43,,,,,,,,,,,,,,,,,,,,,
1780564985.558464,,,MATCH_ACCEPT,3,0,335.319965,4.235000,347.729470,,-1.663750,13.740126,70.718320,44.478880,989.185372,989.185372,0,43,,,,,,,,,,,,,,,,,,,,,
1780564986.903412,,,MATCH_REJECT,1,5,330.220230,-2.263021,24.168321,,-2.978508,53.952835,42.294936,25.529957,368.938605,282.840108,0,40,,,,,,,,,,,,,,,,,,,,,
1780564986.903412,,,MATCH_ACCEPT,2,4,329.390803,-2.273333,333.700945,,4.431238,7.970484,9.898273,4.585515,13.635777,7.391174,1,6,,,,,,,,,,,,,,,,,,,,,
1780564986.903412,,,MATCH_ACCEPT,3,0,326.866064,-1.883750,333.440158,,5.160686,9.635497,10.838673,4.585515,13.635777,7.391174,1,6,,,,,,,,,,,,,,,,,,,,,
1780564986.903412,,,NEW_TRACK,4,1,323.976741,-2.204583,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780564986.903412,,,NEW_TRACK,5,2,324.888199,-2.387917,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780564986.903412,,,NEW_TRACK,6,3,321.433772,-2.039583,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780564986.903412,,,NEW_TRACK,7,5,330.220230,-2.263021,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780564988.931177,,no_packet,TRACK_DELETE,1,,,,25.387736,,-3.029828,,,,627.276848,504.627907,0,50,,,,,,,,,,,,,,,,,,,,,
1780564990.683440,,,MATCH_REJECT,7,0,20.747686,-2.772917,330.220230,,-2.263021,50.530029,29.627629,17.547553,153.958303,153.958303,1,18,,,,,,,,,,,,,,,,,,,,,
1780564990.683440,,,NEW_TRACK,8,0,20.747686,-2.772917,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780564991.928017,,,BBOX_CLIPPED,,0,,,,,,,,,,,,,bbox_out_of_image_bounds,,,,,,,,,,,-12.000,264.000,51.000,384.000,0.000,264.000,51.000,384.000,1,0.809524
1780564991.928017,,,MATCH_ACCEPT,7,0,335.208311,3.465000,330.220230,,-2.263021,7.595470,39.037586,23.820857,283.716624,283.716624,0,24,,,,,,,,,,,,,,,,,,,,,
