timestamp,seq,mode,board,cam,meas_idx,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,raw_bbox_w,raw_bbox_h,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,clipped_bbox_w,clipped_bbox_h,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_cx,bbox_cy,bbox_w,bbox_h,is_edge_bbox,visible_ratio,mono_dist,meas_az,meas_el
1780369421.580573,,,BOARD_3,2,0,2125.000,724.000,2189.000,844.000,64.000,120.000,2125.000,724.000,2189.000,844.000,64.000,120.000,2125.000,724.000,2189.000,844.000,2157.000,784.000,64.000,120.000,0,1.000000,97.460000,2.050378,20.356667
1780369421.859939,,,BOARD_3,2,0,1315.000,712.000,1563.000,892.000,248.000,180.000,1315.000,712.000,1563.000,892.000,248.000,180.000,1315.000,712.000,1563.000,892.000,1439.000,802.000,248.000,180.000,0,1.000000,25.150000,358.778243,20.274167
1780369422.099280,,,BOARD_2,2,0,1714.000,1927.000,1846.000,2019.000,132.000,92.000,1714.000,1927.000,1846.000,2019.000,132.000,92.000,1714.000,1927.000,1846.000,2019.000,1780.000,1973.000,132.000,92.000,0,1.000000,47.250000,359.437879,5.407083
1780369422.099280,,,BOARD_3,2,1,686.000,705.000,934.000,885.000,248.000,180.000,686.000,705.000,934.000,885.000,248.000,180.000,686.000,705.000,934.000,885.000,810.000,795.000,248.000,180.000,0,1.000000,25.150000,355.911706,20.306250
1780369422.428697,,,BOARD_3,2,0,140.000,652.000,388.000,832.000,248.000,180.000,140.000,652.000,388.000,832.000,248.000,180.000,140.000,652.000,388.000,832.000,264.000,742.000,248.000,180.000,0,1.000000,25.150000,353.423425,20.549167
1780369422.428697,,,BOARD_2,2,1,1718.000,2031.000,1966.000,2211.000,248.000,180.000,1718.000,2031.000,1966.000,2160.000,248.000,129.000,1718.000,2031.000,1966.000,2160.000,1842.000,2095.500,248.000,129.000,1,0.716667,25.150000,359.720431,4.845625
1780369422.747187,,,BOARD_3,3,0,3403.000,669.000,3535.000,761.000,132.000,92.000,3403.000,669.000,3535.000,761.000,132.000,92.000,3403.000,669.000,3535.000,761.000,3469.000,715.000,132.000,92.000,0,1.000000,47.250000,346.976545,20.672917
1780369423.003409,,,BOARD_2,2,0,1750.000,1956.000,1870.000,2200.000,120.000,244.000,1750.000,1956.000,1870.000,2160.000,120.000,204.000,1750.000,1956.000,1870.000,2160.000,1810.000,2058.000,120.000,204.000,1,0.836066,51.980000,359.574598,5.017500
1780369423.003409,,,BOARD_3,3,1,3020.000,700.000,3084.000,820.000,64.000,120.000,3020.000,700.000,3084.000,820.000,64.000,120.000,3020.000,700.000,3084.000,820.000,3052.000,760.000,64.000,120.000,0,1.000000,97.460000,345.076154,20.466667
1780369423.337808,,,BOARD_3,3,0,2519.000,708.000,2767.000,888.000,248.000,180.000,2519.000,708.000,2767.000,888.000,248.000,180.000,2519.000,708.000,2767.000,888.000,2643.000,798.000,248.000,180.000,0,1.000000,25.150000,343.212222,20.292500
1780369423.337808,,,BOARD_2,2,1,1441.000,1860.000,1481.000,1911.000,40.000,51.000,1441.000,1860.000,1481.000,1911.000,40.000,51.000,1441.000,1860.000,1481.000,1911.000,1461.000,1885.500,40.000,51.000,0,1.000000,155.930000,357.984103,5.808125
1780369423.615476,,,BOARD_3,3,0,1850.000,727.000,2098.000,907.000,248.000,180.000,1850.000,727.000,2098.000,907.000,248.000,180.000,1850.000,727.000,2098.000,907.000,1974.000,817.000,248.000,180.000,0,1.000000,25.150000,340.163394,20.205417
1780369423.615476,,,BOARD_2,2,1,1171.000,1882.000,1419.000,2062.000,248.000,180.000,1171.000,1882.000,1419.000,2062.000,248.000,180.000,1171.000,1882.000,1419.000,2062.000,1295.000,1972.000,248.000,180.000,0,1.000000,25.150000,357.227593,5.411667
1780369423.919831,,,BOARD_3,3,0,1315.000,669.000,1563.000,849.000,248.000,180.000,1315.000,669.000,1563.000,849.000,248.000,180.000,1315.000,669.000,1563.000,849.000,1439.000,759.000,248.000,180.000,0,1.000000,25.150000,337.725243,20.471250
1780369424.242344,,,BOARD_2,2,0,1195.000,2002.000,1443.000,2182.000,248.000,180.000,1195.000,2002.000,1443.000,2160.000,248.000,158.000,1195.000,2002.000,1443.000,2160.000,1319.000,2081.000,248.000,158.000,1,0.877778,25.150000,357.336968,4.912083
