[Log] stdout/stderr -> logs\20260602_110340\main_tracking_v9_20260602_110340.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260602_110340
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM12@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM14...
[GT06Z] Driver Ready on COM14.
[Adapter] GT06Z 云台已连接: COM14
[GPS] GGA fix_quality=1, num_sats=23, hdop=0.6, lat=30.4081127305, lon=104.0886426905
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM15
[Init] UI distance priority: laser -> mono; UDP distance disabled
[Laser] start_measurement mode=continuous
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.05s, meas=2, tracks=9, valid=1, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.47s, meas=1, tracks=9, valid=1, master=13
[GPS] GGA fix_quality=1, num_sats=26, hdop=0.6, lat=30.408109716666665, lon=104.08863558133334
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.47s, meas=1, tracks=9, valid=1, master=13
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.47s, meas=1, tracks=9, valid=1, master=13
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.47s, meas=1, tracks=9, valid=1, master=13
[LIVE] udp=3.0/s, objs=4.0/s, last_udp=0.27s, meas=2, tracks=9, valid=0, master=13
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.28s, meas=2, tracks=9, valid=0, master=13
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.28s, meas=2, tracks=9, valid=0, master=13
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.28s, meas=2, tracks=9, valid=0, master=13
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.21s, meas=1, tracks=6, valid=0, master=13
[LIVE] udp=3.0/s, objs=4.0/s, last_udp=0.55s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.56s, meas=1, tracks=5, valid=0, master=16
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408110846666666, lon=104.08863282416667
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.56s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.56s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.57s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.57s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.04s, meas=2, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.04s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.15s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.77s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.77s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.77s, meas=1, tracks=5, valid=0, master=16
[GPS] GGA fix_quality=1, num_sats=27, hdop=0.6, lat=30.408111952166667, lon=104.088631506
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.77s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.77s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.77s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=6.78s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=7.78s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=8.78s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.10s, meas=1, tracks=2, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.11s, meas=1, tracks=3, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.11s, meas=1, tracks=3, valid=0, master=16
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.18s, meas=1, tracks=3, valid=0, master=16
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.4081119895, lon=104.0886303815
[LIVE] udp=2.0/s, objs=3.0/s, last_udp=0.02s, meas=1, tracks=4, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.02s, meas=2, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.02s, meas=2, tracks=5, valid=0, master=16
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.10s, meas=2, tracks=7, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.10s, meas=0, tracks=7, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.10s, meas=0, tracks=7, valid=0, master=16
[LIVE] udp=1.0/s, objs=3.0/s, last_udp=0.12s, meas=0, tracks=7, valid=0, master=16
[LIVE] udp=1.0/s, objs=3.0/s, last_udp=0.86s, meas=3, tracks=9, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.87s, meas=3, tracks=9, valid=0, master=16
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.52s, meas=1, tracks=9, valid=0, master=16
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.4081123175, lon=104.08863064516666
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.52s, meas=1, tracks=9, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.53s, meas=1, tracks=9, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.53s, meas=1, tracks=9, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.53s, meas=1, tracks=9, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.54s, meas=1, tracks=9, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=6.54s, meas=1, tracks=9, valid=0, master=16
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.96s, meas=1, tracks=7, valid=0, master=16
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.19s, meas=1, tracks=6, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.19s, meas=1, tracks=6, valid=0, master=16
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.25s, meas=1, tracks=7, valid=0, master=16
[GPS] GGA fix_quality=1, num_sats=27, hdop=0.5, lat=30.4081126685, lon=104.08863125616666
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.22s, meas=1, tracks=8, valid=0, master=16
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.16s, meas=2, tracks=10, valid=0, master=16
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.28s, meas=0, tracks=11, valid=0, master=16
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.71s, meas=1, tracks=12, valid=0, master=16
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.57s, meas=1, tracks=12, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.58s, meas=1, tracks=12, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.58s, meas=1, tracks=12, valid=0, master=16
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.28s, meas=2, tracks=12, valid=0, master=16
[LIVE] udp=1.0/s, objs=2.0/s, last_udp=0.77s, meas=2, tracks=12, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.77s, meas=2, tracks=12, valid=0, master=16
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408112387, lon=104.08863253433333
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.78s, meas=2, tracks=12, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.78s, meas=2, tracks=12, valid=0, master=16
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.14s, meas=1, tracks=8, valid=0, master=16
