timestamp,seq,mode,dt,raw_meas_count,fused_meas_count,fusion_groups,meas_count,track_count,valid_count,track_ids,valid_ids,master_id,hit_streaks,time_since_updates,track_states,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el
1780313945.648204,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,0,1,,,1,0,"1:31.3783,9.7017,0.0000,0.0000",,,39.900000,8.600000
1780313945.987381,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,0,1,,,2,0,"1:31.3794,9.7043,0.0018,0.0040",,,34.400000,7.200000
1780313946.323421,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,3,0,"1:31.3811,9.7147,0.0032,0.0171",,,24.400000,4.400000
1780313946.665481,,,0.203669,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,4,0,"1:31.3630,9.7231,-0.0159,0.0200",90.682093,9.719803,24.400000,0.800000
1780313947.009179,,,0.204070,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,5,0,"1:31.4154,9.7349,0.0312,0.0248",90.682093,9.719803,5.500000,0.100000
1780313947.343839,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,6,0,"1:31.3902,9.7479,0.0060,0.0293",90.682093,9.719803,17.900000,1.500000
1780313947.687322,,,0.205410,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,7,0,"1:31.4057,9.7548,0.0147,0.0267",90.682093,9.719803,28.900000,4.300000
1780313948.019606,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,8,0,"1:31.4231,9.7577,0.0226,0.0220",90.682093,9.719803,31.300000,4.300000
1780313948.364503,,,0.205033,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,9,0,"1:31.3801,9.7563,-0.0081,0.0147",90.682093,9.719803,31.300000,4.300000
1780313948.695667,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,10,0,"1:31.3897,9.7611,-0.0008,0.0148",90.682093,9.719803,31.300000,9.800000
1780313949.045416,,,0.210603,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,11,0,"1:31.3441,9.7638,-0.0280,0.0127",90.682093,9.719803,31.300000,9.800000
1780313949.378908,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,12,0,"1:31.3077,9.7646,-0.0448,0.0101",90.682093,9.719803,31.300000,9.800000
1780313949.721227,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,13,0,"1:31.2846,9.7647,-0.0501,0.0075",90.682093,9.719803,31.300000,9.800000
1780313950.057346,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,14,0,"1:31.3205,9.7687,-0.0187,0.0088",90.682093,9.719803,31.300000,9.800000
1780313950.400014,,,0.207139,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,15,0,"1:31.2960,9.7778,-0.0295,0.0137",90.682093,9.719803,31.300000,9.800000
1780313950.733924,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,16,0,"1:31.3437,9.7853,0.0052,0.0163",90.682093,9.719803,31.300000,9.800000
1780313951.077092,,,0.203884,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,17,0,"1:31.3873,9.7966,0.0307,0.0209",90.682093,9.719803,31.300000,9.800000
1780313951.414486,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,18,0,"1:31.4559,9.8073,0.0668,0.0243",90.682093,9.719803,31.300000,9.800000
1780313952.090725,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,19,0,"1:32.2022,9.8188,0.4829,0.0208",90.682093,9.719803,31.300000,9.800000
1780313953.109583,,,0.248830,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,20,0,"1:36.4530,9.8029,2.4950,-0.0039",91.647110,9.825001,32.200000,9.800000
1780313953.445404,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_2/0",1,1,1,1,1,1,21,0,"1:38.3114,9.8811,3.0784,0.0554",96.501533,9.801740,32.200000,9.800000
