[Log] stdout/stderr -> logs\20260601_193904\main_tracking_v9_20260601_193904.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260601_193904
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM8@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM9...
[GT06Z] Driver Ready on COM9.
[Adapter] GT06Z 云台已连接: COM9
[GPS] GGA fix_quality=1, num_sats=09, hdop=1.7, lat=30.408342406833334, lon=104.08870464883333
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM10
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[Laser] start_measurement mode=continuous
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[GPS] GGA fix_quality=1, num_sats=13, hdop=1.3, lat=30.408360238, lon=104.088697544
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.71s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.02s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.02s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.00s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.33s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.33s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.31s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.30s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.27s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.28s, meas=1, tracks=1, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=12, hdop=2.3, lat=30.408360974666667, lon=104.088702798
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.27s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.25s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.26s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.25s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.22s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.23s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.55s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.25s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.24s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.24s, meas=1, tracks=1, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=08, hdop=3.7, lat=30.4083575685, lon=104.08869952366666
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.24s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.25s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.25s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.25s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=6.26s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=7.26s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=8.26s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=9.26s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=10.26s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=11.26s, meas=1, tracks=1, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=08, hdop=1.6, lat=30.408368011333334, lon=104.08869923
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=12.27s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=13.27s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=14.27s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=15.27s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=16.28s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=17.28s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=18.28s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=19.28s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.24s, meas=1, tracks=1, valid=0, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.20s, meas=1, tracks=1, valid=1, master=3
[GPS] GGA fix_quality=1, num_sats=08, hdop=3.4, lat=30.4083728165, lon=104.08870474933333
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.17s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.14s, meas=1, tracks=1, valid=1, master=3
