timestamp,event,cmd_id,track_id,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el,gimbal_ctrl_az,gimbal_ctrl_el,target_ctrl_az,target_ctrl_el,err_az,err_el,is_settled,settle_time,laser_valid,laser_dist,laser_source,laser_ts,laser_age,laser_interval
1780384366.984192,GIMBAL_CMD_SEND,0,-1,,,,,,,59.300000,0.000000,,,,,,,,,,
1780384367.334154,GIMBAL_ATT,0,-1,,,359.900000,-0.000000,59.200000,-0.000000,59.300000,0.000000,0.100000,0.000000,,,,,,,,
1780384367.334154,GIMBAL_SETTLED,0,-1,,,359.900000,-0.000000,59.200000,-0.000000,59.300000,0.000000,0.100000,0.000000,1,0.349962,,,,,,
1780384367.625645,LASER_TRIGGER,0,-1,,,359.900000,-0.000000,59.200000,-0.000000,59.300000,0.000000,0.100000,0.000000,1,0.349962,0,,sddm,,,
1780384477.013452,GIMBAL_CMD,1,63,85.861779,18.232198,359.900000,-0.000000,,,85.861779,18.232198,,,,,,,,,,
1780384477.040201,GIMBAL_CMD_SEND,1,63,,,,,,,85.861779,18.232198,,,,,,,,,,
1780384477.080824,GIMBAL_ATT,1,63,,,0.900000,0.100000,60.200000,0.100000,85.861779,18.232198,25.661779,18.132198,,,,,,,,
1780384477.388228,GIMBAL_ATT,1,63,,,5.900000,1.400000,65.200000,1.400000,85.861779,18.232198,20.661779,16.832198,,,,,,,,
1780384477.690975,GIMBAL_ATT,1,63,,,15.300000,4.000000,74.600000,4.000000,85.861779,18.232198,11.261779,14.232198,,,,,,,,
1780384478.005535,GIMBAL_ATT,1,63,,,25.000000,8.100000,84.300000,8.100000,85.861779,18.232198,1.561779,10.132198,,,,,,,,
1780384478.305306,GIMBAL_CMD,2,63,82.878590,17.253814,25.000000,8.100000,,,82.878590,17.253814,,,,,,,,,,
1780384478.264914,GIMBAL_ATT,1,63,,,26.400000,8.100000,85.700000,8.100000,85.861779,18.232198,0.161779,10.132198,,,,,,,,
1780384478.580165,GIMBAL_CMD_PREEMPT,2,63,,,,,,,82.878590,17.253814,2.983189,0.978383,,,,,,,,
1780384478.580165,GIMBAL_ATT,2,63,,,26.400000,16.900000,85.700000,16.900000,82.878590,17.253814,2.821410,0.353814,,,,,,,,
1780384478.968464,GIMBAL_ATT,2,63,,,23.600000,16.900000,82.900000,16.900000,82.878590,17.253814,0.021410,0.353814,,,,,,,,
1780384479.282262,GIMBAL_ATT,2,63,,,23.600000,17.300000,82.900000,17.300000,82.878590,17.253814,0.021410,0.046186,,,,,,,,
1780384479.282262,GIMBAL_SETTLED,2,63,,,23.600000,17.300000,82.900000,17.300000,82.878590,17.253814,0.021410,0.046186,1,0.702096,,,,,,
1780384479.575084,LASER_TRIGGER,2,63,,,23.600000,17.300000,82.900000,17.300000,82.878590,17.253814,0.021410,0.046186,1,0.702096,0,,sddm,,,
1780384479.996640,GIMBAL_CMD,3,63,81.286775,16.005710,23.600000,17.300000,,,81.286775,16.005710,,,,,,,,,,
1780384479.996640,GIMBAL_CMD_SEND,3,63,,,,,,,81.286775,16.005710,,,,,,,,,,
1780384480.037905,GIMBAL_ATT,3,63,,,22.500000,17.200000,81.800000,17.200000,81.286775,16.005710,0.513225,1.194290,,,,,,,,
1780384480.367502,GIMBAL_CMD,4,63,80.974614,15.879270,22.500000,17.200000,,,80.974614,15.879270,,,,,,,,,,
1780384480.296189,GIMBAL_ATT,3,63,,,22.500000,17.200000,81.800000,17.200000,81.286775,16.005710,0.513225,1.194290,,,,,,,,
1780384480.659066,GIMBAL_CMD,5,63,80.446612,15.618079,22.500000,17.200000,,,80.446612,15.618079,,,,,,,,,,
1780384480.672173,GIMBAL_CMD_PREEMPT,5,63,,,,,,,80.446612,16.005710,0.840163,0.387631,,,,,,,,
1780384481.036064,GIMBAL_CMD,6,63,79.809375,15.441984,22.500000,17.200000,,,79.809375,15.441984,,,,,,,,,,
1780384480.672173,GIMBAL_ATT,5,63,,,22.500000,16.000000,81.800000,16.000000,80.446612,16.005710,1.353388,0.005710,,,,,,,,
1780384481.111293,GIMBAL_CMD_PREEMPT,6,63,,,,,,,79.809375,16.005710,0.637238,0.563726,,,,,,,,
1780384481.111293,GIMBAL_ATT,6,63,,,22.500000,16.000000,81.800000,16.000000,79.809375,16.005710,1.990625,0.005710,,,,,,,,
1780384481.498748,GIMBAL_CMD,7,63,78.524689,14.990717,22.500000,16.000000,,,78.524689,14.990717,,,,,,,,,,
1780384481.519271,GIMBAL_CMD_PREEMPT,7,63,,,,,,,78.524689,14.990717,1.284686,1.014992,,,,,,,,
1780384481.519271,GIMBAL_ATT,7,63,,,19.300000,16.000000,78.600000,16.000000,78.524689,14.990717,0.075311,1.009283,,,,,,,,
1780384481.781981,GIMBAL_CMD,8,63,77.706794,14.752563,19.300000,16.000000,,,77.706794,14.752563,,,,,,,,,,
1780384481.796601,GIMBAL_CMD_PREEMPT,8,63,,,,,,,77.706794,14.990717,0.817894,0.238154,,,,,,,,
1780384482.072146,GIMBAL_CMD,9,63,76.995199,14.405367,19.300000,16.000000,,,76.995199,14.405367,,,,,,,,,,
1780384481.796601,GIMBAL_ATT,8,63,,,19.300000,16.000000,78.600000,16.000000,77.706794,14.990717,0.893206,1.009283,,,,,,,,
1780384482.173460,GIMBAL_CMD_PREEMPT,9,63,,,,,,,76.995199,14.990717,0.711596,0.585350,,,,,,,,
1780384482.364842,GIMBAL_CMD,10,63,76.344692,14.092278,19.300000,16.000000,,,76.344692,14.092278,,,,,,,,,,
1780384482.173460,GIMBAL_ATT,9,63,,,18.100000,14.900000,77.400000,14.900000,76.995199,14.990717,0.404801,0.090717,,,,,,,,
1780384482.423886,GIMBAL_CMD_PREEMPT,10,63,,,,,,,76.344692,14.092278,0.650507,0.898439,,,,,,,,
