timestamp,seq,mode,dt,meas_count,track_count,valid_count,track_ids,valid_ids,master_id,hit_streaks,time_since_updates,track_states,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el
1779607632.994403,0,static_single,0.250000,1,1,0,1,,,1,0,"1:0.0000,0.0000,0.0000,0.0000",,,0.138613,-0.168065
1779607633.059957,1,static_single,0.065554,1,1,0,1,,,2,0,"1:0.0000,0.0000,0.0000,0.0000",,,359.873947,-0.036860
1779607633.126502,2,static_single,0.066545,1,1,1,1,1,1,3,0,"1:0.0000,0.0000,0.0000,0.0000",,,359.873947,-0.036860
1779607633.192815,3,static_single,0.066313,1,1,1,1,1,1,4,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.997661,-0.063744
1779607633.259496,4,static_single,0.066681,1,1,1,1,1,1,5,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.034422,-0.062842
1779607633.326782,5,static_single,0.067286,1,1,1,1,1,1,6,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.034422,-0.062842
1779607633.395096,6,static_single,0.068313,1,1,1,1,1,1,7,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.017279,-0.032664
1779607633.461641,7,static_single,0.066546,1,1,1,1,1,1,8,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.017279,-0.032664
1779607633.528436,8,static_single,0.066794,1,1,1,1,1,1,9,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.955965,-0.106451
1779607633.596102,9,static_single,0.067666,1,1,1,1,1,1,10,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.075770,-0.123870
1779607633.662199,10,static_single,0.066097,1,1,1,1,1,1,11,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.075770,-0.123870
1779607633.728279,11,static_single,0.066080,1,1,1,1,1,1,12,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.995727,0.058868
1779607633.793974,12,static_single,0.065695,1,1,1,1,1,1,13,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.995727,0.058868
1779607633.861270,13,static_single,0.067296,1,1,1,1,1,1,14,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.985893,0.044279
1779607633.929513,14,static_single,0.068244,1,1,1,1,1,1,15,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.070590,-0.031833
1779607633.995455,15,static_single,0.065942,1,1,1,1,1,1,16,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.070590,-0.031833
1779607634.060124,16,static_single,0.064669,1,1,1,1,1,1,17,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.901912,-0.032847
1779607634.126752,17,static_single,0.066628,1,1,1,1,1,1,18,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.901912,-0.032847
1779607634.192821,18,static_single,0.066070,1,1,1,1,1,1,19,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.038958,-0.055258
1779607634.259156,19,static_single,0.066335,1,1,1,1,1,1,20,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.180835,0.012194
1779607634.329958,20,static_single,0.070801,1,1,1,1,1,1,21,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.180835,0.012194
1779607634.392138,21,static_single,0.062180,1,1,1,1,1,1,22,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.904883,-0.073569
1779607634.463593,22,static_single,0.071456,1,1,1,1,1,1,23,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.904883,-0.073569
1779607634.525379,23,static_single,0.061786,1,1,1,1,1,1,24,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.986538,0.061813
1779607634.596176,24,static_single,0.070796,1,1,1,1,1,1,25,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.142589,0.036472
1779607634.662081,25,static_single,0.065905,1,1,1,1,1,1,26,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.142589,0.036472
1779607634.728019,26,static_single,0.065938,1,1,1,1,1,1,27,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.061963,0.102844
1779607634.794218,27,static_single,0.066199,1,1,1,1,1,1,28,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.169191,-0.015116
1779607634.859387,28,static_single,0.065169,1,1,1,1,1,1,29,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.169191,-0.015116
1779607634.925551,29,static_single,0.066164,1,1,1,1,1,1,30,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.005874,0.040328
1779607634.996697,30,static_single,0.071146,1,1,1,1,1,1,31,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.005874,0.040328
1779607635.061811,31,static_single,0.065114,1,1,1,1,1,1,32,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.896254,0.072860
1779607635.127235,32,static_single,0.065424,1,1,1,1,1,1,33,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.869182,-0.115910
1779607635.192440,33,static_single,0.065205,1,1,1,1,1,1,34,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.869182,-0.115910
1779607635.263471,34,static_single,0.071031,1,1,1,1,1,1,35,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.942445,0.102116
1779607635.328552,35,static_single,0.065081,1,1,1,1,1,1,36,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.942445,0.102116
1779607635.393859,36,static_single,0.065307,1,1,1,1,1,1,37,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.943649,-0.025316
1779607635.459844,37,static_single,0.065986,1,1,1,1,1,1,38,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.179749,0.065354
1779607635.526828,38,static_single,0.066984,1,1,1,1,1,1,39,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.179749,0.065354
1779607635.596531,39,static_single,0.069703,1,1,1,1,1,1,40,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.035414,0.019520
1779607635.660745,40,static_single,0.064214,1,1,1,1,1,1,41,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.015748,-0.046644
1779607635.726467,41,static_single,0.065722,1,1,1,1,1,1,42,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.015748,-0.046644
1779607635.791583,42,static_single,0.065116,1,1,1,1,1,1,43,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.074446,0.072744
1779607635.862366,43,static_single,0.070783,1,1,1,1,1,1,44,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.074446,0.072744
1779607635.927747,44,static_single,0.065381,1,1,1,1,1,1,45,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.011824,-0.001466
1779607636.071990,0,two_crossing,0.005406,2,3,0,1;2;3,,1,44;1;1,3;0;0,"1:0.0000,0.0000,0.0000,0.0000;2:355.3516,0.2750,0.0000,0.0000;3:4.6484,-0.2750,0.0000,0.0000",59.300000,0.000000,359.947936,0.007327
1779607636.142230,1,two_crossing,0.070240,2,3,0,1;2;3,,1,43;2;2,4;0;0,"1:0.0000,0.0000,0.0000,0.0000;2:355.4046,0.2750,0.0339,0.0000;3:4.5922,-0.2750,-0.0359,0.0000",59.300000,0.000000,359.856358,0.001742
1779607636.203694,2,two_crossing,0.061464,2,3,2,1;2;3,2;3,2,42;3;3,5;0;0,"1:0.0000,0.0000,0.0000,0.0000;2:355.4669,0.2750,0.1191,0.0000;3:4.5287,-0.2750,-0.1254,0.0000",59.300000,0.000000,359.856358,0.001742
1779607636.274427,3,two_crossing,0.070732,2,3,2,1;2;3,2;3,2,41;4;4,6;0;0,"1:0.0000,0.0000,0.0000,0.0000;2:355.5444,0.2750,0.2655,0.0000;3:4.4500,-0.2750,-0.2790,0.0000",54.802634,0.275000,355.519933,0.210972
1779607636.340246,4,two_crossing,0.065820,2,3,2,1;2;3,2;3,2,40;5;5,7;0;0,"1:0.0000,0.0000,0.0000,0.0000;2:355.6366,0.2750,0.4451,0.0000;3:4.3565,-0.2750,-0.4654,0.0000",54.802634,0.275000,355.519933,0.210972
1779607636.407230,5,two_crossing,0.066984,2,3,2,1;2;3,2;3,2,39;6;6,8;0;0,"1:0.0000,0.0000,0.0000,0.0000;2:355.7422,0.2750,0.6308,0.0000;3:4.2499,-0.2750,-0.6554,0.0000",55.070169,0.275000,355.751763,0.335415
1779607636.474390,6,two_crossing,0.067159,2,3,2,1;2;3,2;3,2,38;7;7,9;0;0,"1:0.0000,0.0000,0.0000,0.0000;2:355.8563,0.2750,0.8008,0.0000;3:4.1352,-0.2750,-0.8264,0.0000",55.070169,0.275000,355.804982,0.242732
1779607636.540672,7,two_crossing,0.066283,2,3,2,1;2;3,2;3,2,37;8;8,10;0;0,"1:0.0000,0.0000,0.0000,0.0000;2:355.9739,0.2750,0.9453,0.0000;3:4.0176,-0.2750,-0.9697,0.0000",55.396518,0.275000,356.016022,0.207359
1779607636.607177,8,two_crossing,0.066505,2,3,2,1;2;3,2;3,2,36;9;9,11;0;0,"1:0.0000,0.0000,0.0000,0.0000;2:356.0930,0.2750,1.0636,0.0000;3:3.8987,-0.2750,-1.0856,0.0000",55.396518,0.275000,356.215570,0.293331
1779607636.672368,9,two_crossing,0.065191,2,2,2,2;3,2;3,2,10;10,0;0,"2:356.2108,0.2750,1.1592,0.0000;3:3.7815,-0.2750,-1.1784,0.0000",55.712050,0.275000,356.410673,0.286957
1779607636.737988,10,two_crossing,0.065620,2,2,2,2;3,2;3,2,11;11,0;0,"2:356.3282,0.2750,1.2361,0.0000;3:3.6646,-0.2750,-1.2527,0.0000",55.712050,0.275000,356.474462,0.151444
1779607636.808048,11,two_crossing,0.070060,2,2,2,2;3,2;3,2,12;12,0;0,"2:356.4488,0.2750,1.2960,0.0000;3:3.5446,-0.2750,-1.3100,0.0000",55.999078,0.275000,356.559107,0.261757
1779607636.874545,12,two_crossing,0.066497,2,2,2,2;3,2;3,2,13;13,0;0,"2:356.5638,0.2750,1.3443,0.0000;3:3.4303,-0.2750,-1.3562,0.0000",55.999078,0.275000,356.632846,0.354393
1779607636.939811,13,two_crossing,0.065266,2,2,2,2;3,2;3,2,14;14,0;0,"2:356.6766,0.2750,1.3845,0.0000;3:3.3181,-0.2750,-1.3945,0.0000",56.267137,0.275000,356.933763,0.342464
1779607637.006107,14,two_crossing,0.066296,2,2,2,2;3,2;3,2,15;15,0;0,"2:356.7898,0.2750,1.4176,0.0000;3:3.2054,-0.2750,-1.4261,0.0000",56.267137,0.275000,356.913168,0.311899
1779607637.072670,15,two_crossing,0.066563,2,2,2,2;3,2;3,2,16;16,0;0,"2:356.9025,0.2750,1.4451,0.0000;3:3.0932,-0.2750,-1.4523,0.0000",56.515115,0.275000,357.149811,0.376753
1779607637.138671,16,two_crossing,0.066001,2,2,2,2;3,2;3,2,17;17,0;0,"2:357.0138,0.2750,1.4684,0.0000;3:2.9824,-0.2750,-1.4744,0.0000",56.515115,0.275000,357.219084,0.352617
1779607637.204280,17,two_crossing,0.065609,2,2,2,2;3,2;3,2,18;18,0;0,"2:357.1242,0.2750,1.4885,0.0000;3:2.8724,-0.2750,-1.4936,0.0000",56.754351,0.275000,357.489283,0.313722
1779607637.270722,18,two_crossing,0.066442,2,2,2,2;3,2;3,2,19;19,0;0,"2:357.2352,0.2750,1.5054,0.0000;3:2.7618,-0.2750,-1.5098,0.0000",56.754351,0.275000,357.516582,0.135494
1779607637.337169,19,two_crossing,0.066447,2,2,2,2;3,2;3,2,20;20,0;0,"2:357.3455,0.2750,1.5198,0.0000;3:2.6518,-0.2750,-1.5235,0.0000",56.986790,0.275000,357.725140,0.325559
