timestamp,seq,mode,dt,meas_count,track_count,valid_count,track_ids,valid_ids,master_id,hit_streaks,time_since_updates,track_states,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el
1779611152.391463,0,static_single,0.250000,1,1,0,1,,,1,0,"1:0.0000,0.0000,0.0000,0.0000",,,0.214763,0.061720
1779611152.457345,1,static_single,0.065882,1,1,0,1,,,2,0,"1:0.0000,0.0000,0.0000,0.0000",,,0.214763,0.061720
1779611152.525875,2,static_single,0.068530,1,1,1,1,1,1,3,0,"1:0.0000,0.0000,0.0000,0.0000",,,0.061233,-0.258371
1779611152.593735,3,static_single,0.067861,1,1,1,1,1,1,4,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.047763,-0.043851
1779611152.660072,4,static_single,0.066337,1,1,1,1,1,1,5,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.999235,0.022257
1779611152.725131,5,static_single,0.065058,1,1,1,1,1,1,6,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.999235,0.022257
1779611152.791292,6,static_single,0.066162,1,1,1,1,1,1,7,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.876999,-0.107241
1779611152.855738,7,static_single,0.064446,1,1,1,1,1,1,8,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.928968,-0.126076
1779611152.927146,8,static_single,0.071409,1,1,1,1,1,1,9,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.928968,-0.126076
1779611152.992776,9,static_single,0.065629,1,1,1,1,1,1,10,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.892665,0.005591
1779611153.059711,10,static_single,0.066936,1,1,1,1,1,1,11,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.892665,0.005591
1779611153.125179,11,static_single,0.065468,1,1,1,1,1,1,12,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.037991,0.044149
1779611153.189827,12,static_single,0.064648,1,1,1,1,1,1,13,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.064357,-0.123314
1779611153.255906,13,static_single,0.066079,1,1,1,1,1,1,14,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.064357,-0.123314
1779611153.327079,14,static_single,0.071173,1,1,1,1,1,1,15,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.034536,-0.079891
1779611153.399624,15,static_single,0.005605,1,1,1,1,1,1,16,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.015768,-0.028523
1779611153.459769,16,static_single,0.060145,1,1,1,1,1,1,17,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.015768,-0.028523
