timestamp,seq,mode,dt,meas_count,track_count,valid_count,track_ids,valid_ids,master_id,hit_streaks,time_since_updates,track_states,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el
1779607571.544772,41,static_single,0.011148,1,1,0,1,,,1,0,"1:0.0000,0.0000,0.0000,0.0000",,,0.083089,-0.048854
1779607571.609647,42,static_single,0.064874,1,1,0,1,,,2,0,"1:0.0000,0.0000,0.0000,0.0000",,,0.083089,-0.048854
1779607571.674980,43,static_single,0.065334,1,1,1,1,1,1,3,0,"1:0.0000,0.0000,0.0000,0.0000",,,0.004593,0.033434
1779607571.741108,44,static_single,0.066128,1,1,1,1,1,1,4,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.004546,-0.193217
1779607571.811311,45,static_single,0.070203,1,1,1,1,1,1,5,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.893238,0.034235
1779607571.876885,46,static_single,0.065573,1,1,1,1,1,1,6,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.893238,0.034235
1779607571.943396,47,static_single,0.066511,1,1,1,1,1,1,7,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.989005,-0.034118
1779607572.010351,48,static_single,0.066955,1,1,1,1,1,1,8,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.977319,0.041372
1779607572.075830,49,static_single,0.065479,1,1,1,1,1,1,9,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.977319,0.041372
1779607572.140502,50,static_single,0.064673,1,1,1,1,1,1,10,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.013008,0.002287
1779607572.208568,51,static_single,0.068065,1,1,1,1,1,1,11,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.013008,0.002287
1779607572.274751,52,static_single,0.066183,1,1,1,1,1,1,12,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.037116,0.034882
1779607572.344888,53,static_single,0.070137,1,1,1,1,1,1,13,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.065871,-0.056712
1779607572.409188,54,static_single,0.064301,1,1,1,1,1,1,14,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.065871,-0.056712
1779607572.475551,55,static_single,0.066363,1,1,1,1,1,1,15,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.027029,0.069029
1779607572.542026,56,static_single,0.066475,1,1,1,1,1,1,16,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.027029,0.069029
1779607572.608778,57,static_single,0.066752,1,1,1,1,1,1,17,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.046451,0.061306
1779607572.674675,58,static_single,0.065897,1,1,1,1,1,1,18,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.079665,-0.011435
1779607572.740533,59,static_single,0.065858,1,1,1,1,1,1,19,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.079665,-0.011435
1779607572.811945,60,static_single,0.071413,1,1,1,1,1,1,20,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.054800,0.046031
1779607572.878687,61,static_single,0.066741,1,1,1,1,1,1,21,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.043211,0.069298
1779607572.945275,62,static_single,0.066588,1,1,1,1,1,1,22,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.043211,0.069298
1779607573.011639,63,static_single,0.066364,1,1,1,1,1,1,23,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.024972,0.021721
1779607573.078865,64,static_single,0.067226,1,1,1,1,1,1,24,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.024972,0.021721
1779607573.140610,65,static_single,0.061745,1,1,1,1,1,1,25,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.983214,-0.050913
1779607573.212268,66,static_single,0.071658,1,1,1,1,1,1,26,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.004186,-0.010872
1779607573.277958,67,static_single,0.065691,1,1,1,1,1,1,27,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.004186,-0.010872
1779607573.344365,68,static_single,0.066407,1,1,1,1,1,1,28,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.066188,-0.011570
1779607573.410652,69,static_single,0.066287,1,1,1,1,1,1,29,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.066188,-0.011570
1779607573.477269,70,static_single,0.066617,1,1,1,1,1,1,30,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,0.003238,0.072792
1779607573.542141,71,static_single,0.064872,1,1,1,1,1,1,31,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.870575,0.018571
1779607573.608750,72,static_single,0.066609,1,1,1,1,1,1,32,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.870575,0.018571
1779607573.675545,73,static_single,0.066795,1,1,1,1,1,1,33,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.824755,-0.004663
1779607573.742632,74,static_single,0.067088,1,1,1,1,1,1,34,0,"1:0.0000,0.0000,0.0000,0.0000",59.300000,0.000000,359.824755,-0.004663
