ts,ctrl_az,ctrl_el,gimbal_cx,gimbal_cy,down_cx,down_cy,chessboard_az,chessboard_el,bias_az,bias_el,relative_az,relative_el,offset_az_g,offset_el_g,offset_az_d,offset_el_d
1779280938.4921377,61.0,17.5,273.6045227050781,276.465087890625,347.43988037109375,302.3337707519531,59.73137366771698,16.74790756225586,58.981064438819885,18.033541584014895,-2.0189355611801147,0.5335415840148947,-1.26862633228302,-0.7520924377441407,0.7503092288970947,-1.2856340217590332
1779280939.5912845,61.0,17.5,273.59844970703125,276.44757080078125,347.43988037109375,302.3337707519531,59.731207609176636,16.74826885223389,58.98089838027954,18.033902873992922,-2.019101619720459,0.5339028739929219,-1.2687923908233643,-0.7517311477661133,0.7503092288970947,-1.2856340217590332
1779280940.8083494,61.0,17.5,273.59844970703125,276.427978515625,347.4360656738281,302.33154296875,59.731207609176636,16.748672943115235,58.9810026884079,18.034261016845704,-2.018997311592102,0.5342610168457043,-1.2687923908233643,-0.7513270568847656,0.7502049207687378,-1.2855880737304688
1779280941.8981714,61.0,17.5,273.586669921875,276.4039611816406,347.4233093261719,302.33154296875,59.73088550567627,16.74916830062866,58.98102939128876,18.03475637435913,-2.0189706087112427,0.5347563743591301,-1.2691144943237305,-0.750831699371338,0.7498561143875122,-1.2855880737304688
1779280943.1260703,61.0,17.5,273.5854187011719,276.39727783203125,347.4233093261719,302.33154296875,59.73085129261017,16.749306144714357,58.980995178222656,18.034894218444826,-2.0190048217773438,0.5348942184448262,-1.2691487073898315,-0.7506938552856446,0.7498561143875122,-1.2855880737304688
1779280944.5759583,61.0,17.5,273.586669921875,276.3968811035156,347.43585205078125,302.3337707519531,59.73088550567627,16.74931432723999,58.98068642616272,18.034948348999023,-2.0193135738372803,0.5349483489990234,-1.2691144943237305,-0.7506856727600097,0.7501990795135498,-1.2856340217590332
1779280946.8583446,61.0,17.5,273.57037353515625,276.396240234375,347.421875,302.33612060546875,59.73043990135193,16.749327545166015,58.98062300682068,18.03501003265381,-2.0193769931793213,0.5350100326538083,-1.2695600986480713,-0.7506724548339844,0.74981689453125,-1.285682487487793
1779280948.3129523,61.0,17.5,273.548095703125,276.3622741699219,347.4194030761719,302.3393859863281,59.729830741882324,16.750028095245362,58.98008143901825,18.03577793121338,-2.0199185609817505,0.5357779312133815,-1.2701692581176758,-0.7499719047546387,0.7497493028640747,-1.2857498359680177
1779280949.6870031,61.0,17.5,273.548095703125,276.3622741699219,347.4164733886719,302.3402099609375,59.729830741882324,16.750028095245362,58.98016154766083,18.035794925689697,-2.0198384523391724,0.5357949256896966,-1.2701692581176758,-0.7499719047546387,0.7496691942214966,-1.285766830444336
1779280959.145264,61.0,17.5,273.53826904296875,276.25860595703125,347.3124694824219,302.33160400390625,59.72956204414368,16.75216625213623,58.982736706733704,18.0377555847168,-2.0172632932662964,0.5377555847167983,-1.2704379558563232,-0.7478337478637695,0.7468253374099731,-1.2855893325805665
