timestamp,seq,mode,event,track_id,meas_idx,meas_az,meas_el,pred_az,pred_el,cost,dynamic_thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,reason,master_id,is_master,laser_track_id,distance,distance_source,track_laser_dist,track_laser_ts,track_laser_age
1779612065.059548,10,two_crossing,MATCH_ACCEPT,1,0,356.111126,0.275000,356.022338,0.275000,0.088788,2.956186,0.870791,0.533099,0.225177,10,1,,,,,,,,,
1779612065.060052,10,two_crossing,MATCH_ACCEPT,2,1,3.888874,-0.275000,3.971191,-0.275000,0.082317,2.768962,0.839308,0.493561,0.210877,10,1,,,,,,,,,
1779612065.059548,10,two_crossing,UI_STATUS_SEND,1,,,,356.051278,0.275000,,,,,,11,0,,1,1,1,300.000000,laser,300.000000,1779612064.992657,0.066891
1779612065.059548,10,two_crossing,UI_STATUS_SEND,2,,,,3.943621,-0.275000,,,,,,11,0,,1,0,1,340.000000,mono,,,
1779612065.125743,11,two_crossing,MATCH_ACCEPT,1,0,356.187051,0.275000,356.109631,0.275000,0.077420,2.932589,0.855059,0.513256,0.217870,11,1,,,,,,,,,
1779612065.126247,11,two_crossing,MATCH_ACCEPT,2,1,3.812949,-0.275000,3.884496,-0.275000,0.071547,2.746183,0.824122,0.474862,0.204315,11,1,,,,,,,,,
1779612065.125743,11,two_crossing,UI_STATUS_SEND,1,,,,356.134224,0.275000,,,,,,12,0,,1,1,1,300.000000,laser,300.000000,1779612064.992657,0.133085
1779612065.125743,11,two_crossing,UI_STATUS_SEND,2,,,,3.861145,-0.275000,,,,,,12,0,,1,0,1,340.000000,mono,,,
1779612065.191688,12,two_crossing,MATCH_ACCEPT,1,0,356.263021,0.275000,356.195207,0.275000,0.067813,2.911952,0.841302,0.495434,0.212354,12,1,,,,,,,,,
1779612065.191688,12,two_crossing,MATCH_ACCEPT,2,1,3.736979,-0.275000,3.799510,-0.275000,0.062531,2.726545,0.811030,0.458347,0.199423,12,1,,,,,,,,,
1779612065.191688,12,two_crossing,UI_STATUS_SEND,1,,,,356.216233,0.275000,,,,,,13,0,,1,1,1,300.000000,laser,300.000000,1779612064.992657,0.199030
1779612065.191688,12,two_crossing,UI_STATUS_SEND,2,,,,3.779585,-0.275000,,,,,,13,0,,1,0,1,340.000000,mono,,,
1779612065.257373,13,two_crossing,MATCH_ACCEPT,1,0,356.338991,0.275000,356.278780,0.275000,0.060211,2.893153,0.828769,0.479064,0.207794,13,1,,,,,,,,,
1779612065.257373,13,two_crossing,MATCH_ACCEPT,2,1,3.661009,-0.275000,3.716492,-0.275000,0.055483,2.708834,0.799223,0.443369,0.195389,13,1,,,,,,,,,
1779612065.256847,13,two_crossing,UI_STATUS_SEND,1,,,,356.297018,0.275000,,,,,,14,0,,1,1,1,300.000000,laser,300.000000,1779612065.191688,0.065159
1779612065.256847,13,two_crossing,UI_STATUS_SEND,2,,,,3.699211,-0.275000,,,,,,14,0,,1,0,1,340.000000,mono,,,
1779612065.324245,14,two_crossing,MATCH_ACCEPT,1,0,356.414915,0.275000,356.363685,0.275000,0.051231,2.882466,0.821644,0.468899,0.206200,14,1,,,,,,,,,
1779612065.324245,14,two_crossing,MATCH_ACCEPT,2,1,3.585085,-0.275000,3.632066,-0.275000,0.046982,2.699092,0.792728,0.434298,0.194120,14,1,,,,,,,,,
1779612065.324245,14,two_crossing,UI_STATUS_SEND,1,,,,356.378972,0.275000,,,,,,15,0,,1,1,1,300.000000,laser,300.000000,1779612065.191688,0.132558
1779612065.324245,14,two_crossing,UI_STATUS_SEND,2,,,,3.617640,-0.275000,,,,,,15,0,,1,0,1,340.000000,mono,,,
1779612065.389615,15,two_crossing,MATCH_ACCEPT,1,0,356.490885,0.275000,356.445177,0.275000,0.045708,2.868937,0.812624,0.457047,0.203311,15,1,,,,,,,,,
1779612065.390171,15,two_crossing,MATCH_ACCEPT,2,1,3.509115,-0.275000,3.551043,-0.275000,0.041929,2.686531,0.784354,0.423659,0.191552,15,1,,,,,,,,,
1779612065.389615,15,two_crossing,UI_STATUS_SEND,1,,,,356.458572,0.275000,,,,,,16,0,,1,1,1,300.000000,laser,300.000000,1779612065.191688,0.197927
1779612065.389615,15,two_crossing,UI_STATUS_SEND,2,,,,3.538389,-0.275000,,,,,,16,0,,1,0,1,340.000000,mono,,,
1779612065.460054,16,two_crossing,MATCH_ACCEPT,1,0,356.566855,0.275000,356.531326,0.275000,0.035529,2.867625,0.811750,0.454210,0.204728,16,1,,,,,,,,,
1779612065.460054,16,two_crossing,MATCH_ACCEPT,2,1,3.433145,-0.275000,3.465277,-0.275000,0.032133,2.685890,0.783927,0.421488,0.193053,16,1,,,,,,,,,
1779612065.460054,16,two_crossing,UI_STATUS_SEND,1,,,,356.541693,0.275000,,,,,,17,0,,1,1,1,300.000000,laser,300.000000,1779612065.390171,0.069883
1779612065.460054,16,two_crossing,UI_STATUS_SEND,2,,,,3.455614,-0.275000,,,,,,17,0,,1,0,1,340.000000,mono,,,
1779612065.525009,17,two_crossing,MATCH_ACCEPT,1,0,356.642780,0.275000,356.609772,0.275000,0.033008,2.854686,0.803124,0.443638,0.201371,17,1,,,,,,,,,
1779612065.525009,17,two_crossing,MATCH_ACCEPT,2,1,3.357220,-0.275000,3.387261,-0.275000,0.030040,2.673740,0.775827,0.411976,0.189931,17,1,,,,,,,,,
1779612065.525009,17,two_crossing,UI_STATUS_SEND,1,,,,356.619243,0.275000,,,,,,18,0,,1,1,1,300.000000,laser,300.000000,1779612065.390171,0.134839
1779612065.525009,17,two_crossing,UI_STATUS_SEND,2,,,,3.378370,-0.275000,,,,,,18,0,,1,0,1,340.000000,mono,,,
1779612065.590306,18,two_crossing,MATCH_ACCEPT,1,0,356.718750,0.275000,356.687904,0.275000,0.030846,2.844639,0.796426,0.435175,0.199119,18,1,,,,,,,,,
1779612065.590306,18,two_crossing,MATCH_ACCEPT,2,1,3.281250,-0.275000,3.309480,-0.275000,0.028230,2.664446,0.769631,0.404447,0.187885,18,1,,,,,,,,,
1779612065.589683,18,two_crossing,UI_STATUS_SEND,1,,,,356.696634,0.275000,,,,,,19,0,,1,1,1,300.000000,laser,300.000000,1779612065.390171,0.199512
1779612065.589683,18,two_crossing,UI_STATUS_SEND,2,,,,3.301234,-0.275000,,,,,,19,0,,1,0,1,340.000000,mono,,,
1779612065.655701,19,two_crossing,MATCH_ACCEPT,1,0,356.794720,0.275000,356.767532,0.275000,0.027188,2.839621,0.793081,0.430361,0.198616,19,1,,,,,,,,,
1779612065.656252,19,two_crossing,MATCH_ACCEPT,2,1,3.205280,-0.275000,3.230137,-0.275000,0.024857,2.660051,0.766700,0.400329,0.187501,19,1,,,,,,,,,
1779612065.655701,19,two_crossing,UI_STATUS_SEND,1,,,,356.775165,0.275000,,,,,,20,0,,1,1,1,300.000000,laser,300.000000,1779612065.590886,0.064815
1779612065.655701,19,two_crossing,UI_STATUS_SEND,2,,,,3.222928,-0.275000,,,,,,20,0,,1,0,1,340.000000,mono,,,
1779612065.725424,20,two_crossing,MATCH_ACCEPT,1,0,356.870645,0.275000,356.850780,0.275000,0.019864,2.842039,0.794693,0.430934,0.200603,20,1,,,,,,,,,
1779612065.725424,20,two_crossing,MATCH_ACCEPT,2,1,3.129355,-0.275000,3.147135,-0.275000,0.017780,2.662858,0.768572,0.401242,0.189461,20,1,,,,,,,,,
1779612065.725424,20,two_crossing,UI_STATUS_SEND,1,,,,356.856362,0.275000,,,,,,21,0,,1,1,1,300.000000,laser,300.000000,1779612065.590886,0.134538
1779612065.725424,20,two_crossing,UI_STATUS_SEND,2,,,,3.141971,-0.275000,,,,,,21,0,,1,0,1,340.000000,mono,,,
1779612065.790336,21,two_crossing,MATCH_ACCEPT,1,0,356.946615,0.275000,356.927259,0.275000,0.019355,2.834594,0.789729,0.425200,0.198472,21,1,,,,,,,,,
1779612065.790336,21,two_crossing,MATCH_ACCEPT,2,1,3.053385,-0.275000,3.070939,-0.275000,0.017554,2.655843,0.763896,0.396102,0.187435,21,1,,,,,,,,,
1779612065.790336,21,two_crossing,UI_STATUS_SEND,1,,,,356.932646,0.275000,,,,,,22,0,,1,1,1,300.000000,laser,300.000000,1779612065.590886,0.199450
1779612065.790336,21,two_crossing,UI_STATUS_SEND,2,,,,3.065887,-0.275000,,,,,,22,0,,1,0,1,340.000000,mono,,,
1779612065.855824,22,two_crossing,MATCH_ACCEPT,1,0,357.022585,0.275000,357.004654,0.275000,0.017930,2.830303,0.786869,0.421584,0.197579,22,1,,,,,,,,,
1779612065.855824,22,two_crossing,MATCH_ACCEPT,2,1,2.977415,-0.275000,2.993766,-0.275000,0.016351,2.651940,0.761293,0.392947,0.186621,22,1,,,,,,,,,
1779612065.855824,22,two_crossing,UI_STATUS_SEND,1,,,,357.009614,0.275000,,,,,,23,0,,1,1,1,300.000000,laser,300.000000,1779612065.790336,0.065489
1779612065.855824,22,two_crossing,UI_STATUS_SEND,2,,,,2.989087,-0.275000,,,,,,23,0,,1,0,1,340.000000,mono,,,
1779612065.928490,23,two_crossing,MATCH_ACCEPT,1,0,357.098509,0.275000,357.090001,0.275000,0.008508,2.930457,0.853638,0.477103,0.251594,23,2,,,,,,,,,
1779612065.928490,23,two_crossing,MATCH_ACCEPT,2,1,2.901491,-0.275000,2.908595,-0.275000,0.007105,2.755004,0.830003,0.448410,0.240495,23,2,,,,,,,,,
1779612065.928490,23,two_crossing,UI_STATUS_SEND,1,,,,357.092571,0.275000,,,,,,24,0,,1,1,1,300.000000,laser,300.000000,1779612065.790336,0.138154
1779612065.928490,23,two_crossing,UI_STATUS_SEND,2,,,,2.906365,-0.275000,,,,,,24,0,,1,0,1,340.000000,mono,,,
1779612065.992822,24,two_crossing,MATCH_ACCEPT,1,0,357.174479,0.275000,357.163940,0.275000,0.010539,2.866472,0.810981,0.445522,0.212169,24,1,,,,,,,,,
1779612065.992822,24,two_crossing,MATCH_ACCEPT,2,1,2.825521,-0.275000,2.834929,-0.275000,0.009408,2.687943,0.785296,0.416441,0.200248,24,1,,,,,,,,,
1779612065.992822,24,two_crossing,UI_STATUS_SEND,1,,,,357.166973,0.275000,,,,,,25,0,,1,1,1,300.000000,laser,300.000000,1779612065.790336,0.202486
1779612065.992822,24,two_crossing,UI_STATUS_SEND,2,,,,2.832124,-0.275000,,,,,,25,0,,1,0,1,340.000000,mono,,,
1779612066.057862,25,two_crossing,MATCH_ACCEPT,1,0,357.250449,0.275000,357.239379,0.275000,0.011070,2.842348,0.794899,0.430269,0.201596,25,1,,,,,,,,,
1779612066.057862,25,two_crossing,MATCH_ACCEPT,2,1,2.749551,-0.275000,2.759666,-0.275000,0.010115,2.663881,0.769254,0.401542,0.190209,25,1,,,,,,,,,
1779612066.057862,25,two_crossing,UI_STATUS_SEND,1,,,,357.242487,0.275000,,,,,,26,0,,1,1,1,300.000000,laser,300.000000,1779612065.992822,0.065040
1779612066.057862,25,two_crossing,UI_STATUS_SEND,2,,,,2.756726,-0.275000,,,,,,26,0,,1,0,1,340.000000,mono,,,
