timestamp,event,cmd_id,track_id,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el,gimbal_ctrl_az,gimbal_ctrl_el,target_ctrl_az,target_ctrl_el,err_az,err_el,is_settled,settle_time
1779608784.711678,GIMBAL_CMD_SEND,0,-1,,,,,,,59.300000,0.000000,,,,
1779608784.711678,GIMBAL_ATT,0,-1,,,0.027329,0.086809,59.327329,0.086809,59.300000,0.000000,0.027329,0.086809,,
1779608784.711678,GIMBAL_SETTLED,0,-1,,,0.027329,0.086809,59.327329,0.086809,59.300000,0.000000,0.027329,0.086809,1,0.000000
1779608787.504656,GIMBAL_CMD,1,1,59.300000,0.000000,0.100788,-0.046123,,,59.300000,0.000000,,,,
1779608787.506187,GIMBAL_CMD_SEND,1,1,,,,,,,59.300000,0.000000,,,,
1779608787.506187,GIMBAL_ATT,1,1,,,0.004946,-0.004448,59.304946,-0.004448,59.300000,0.000000,0.004946,0.004448,,
1779608787.506187,GIMBAL_SETTLED,1,1,,,0.004946,-0.004448,59.304946,-0.004448,59.300000,0.000000,0.004946,0.004448,1,0.000000
