timestamp,seq,mode,dt,meas_count,track_count,valid_count,track_ids,valid_ids,master_id,hit_streaks,time_since_updates,track_states,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el
1779612064.393142,0,two_crossing,0.250000,2,2,0,1;2,,,1;1,0;0,"1:355.3516,0.2750,0.0000,0.0000;2:4.6484,-0.2750,0.0000,0.0000",,,359.967663,-0.027930
1779612064.456627,1,two_crossing,0.063484,2,2,0,1;2,,,2;2,0;0,"1:355.3893,0.2750,0.0220,0.0000;2:4.6084,-0.2750,-0.0233,0.0000",,,359.952532,0.088914
1779612064.523523,2,two_crossing,0.066896,2,2,2,1;2,1;2,1,3;3,0;0,"1:355.4340,0.2750,0.0843,0.0000;2:4.5628,-0.2750,-0.0889,0.0000",,,359.952532,0.088914
1779612064.590389,3,two_crossing,0.066866,2,2,2,1;2,1;2,1,4;4,0;0,"1:355.4888,0.2750,0.1876,0.0000;2:4.5072,-0.2750,-0.1973,0.0000",54.759298,0.275000,355.603615,0.296113
1779612064.656933,4,two_crossing,0.066545,2,2,2,1;2,1;2,1,5;5,0;0,"1:355.5547,0.2750,0.3163,0.0000;2:4.4403,-0.2750,-0.3310,0.0000",54.759298,0.275000,355.603615,0.296113
1779612064.727508,5,two_crossing,0.070575,2,2,2,1;2,1;2,1,6;6,0;0,"1:355.6315,0.2750,0.4505,0.0000;2:4.3627,-0.2750,-0.4681,0.0000",54.759298,0.275000,355.493833,0.315748
1779612064.792201,6,two_crossing,0.064693,2,2,2,1;2,1;2,1,7;7,0;0,"1:355.7119,0.2750,0.5720,0.0000;2:4.2820,-0.2750,-0.5902,0.0000",55.066702,0.275000,355.812969,0.243507
1779612064.857605,7,two_crossing,0.065404,2,2,2,1;2,1;2,1,8;8,0;0,"1:355.7955,0.2750,0.6754,0.0000;2:4.1984,-0.2750,-0.6928,0.0000",55.066702,0.275000,355.833057,0.209611
1779612064.924927,8,two_crossing,0.067322,2,2,2,1;2,1;2,1,9;9,0;0,"1:355.8812,0.2750,0.7600,0.0000;2:4.1129,-0.2750,-0.7757,0.0000",55.298125,0.275000,355.908166,0.167584
1779612064.992126,9,two_crossing,0.067199,2,2,2,1;2,1;2,1,10;10,0;0,"1:355.9665,0.2750,0.8278,0.0000;2:4.0279,-0.2750,-0.8414,0.0000",55.298125,0.275000,356.065398,0.353262
1779612065.059548,10,two_crossing,0.067422,2,2,2,1;2,1;2,1,11;11,0;0,"1:356.0513,0.2750,0.8815,0.0000;2:3.9436,-0.2750,-0.8932,0.0000",55.514857,0.275000,356.167542,0.288165
1779612065.125743,11,two_crossing,0.066195,2,2,2,1;2,1;2,1,12;12,0;0,"1:356.1342,0.2750,0.9248,0.0000;2:3.8611,-0.2750,-0.9346,0.0000",55.514857,0.275000,356.240162,0.311391
1779612065.191688,12,two_crossing,0.065945,2,2,2,1;2,1;2,1,13;13,0;0,"1:356.2162,0.2750,0.9599,0.0000;2:3.7796,-0.2750,-0.9683,0.0000",55.514857,0.275000,356.240162,0.311391
1779612065.256847,13,two_crossing,0.065159,2,2,2,1;2,1;2,1,14;14,0;0,"1:356.2970,0.2750,0.9891,0.0000;2:3.6992,-0.2750,-0.9962,0.0000",55.804209,0.275000,356.533919,0.306051
1779612065.324245,14,two_crossing,0.067399,2,2,2,1;2,1;2,1,15;15,0;0,"1:356.3790,0.2750,1.0128,0.0000;2:3.6176,-0.2750,-1.0188,0.0000",55.804209,0.275000,356.494440,0.212972
1779612065.389615,15,two_crossing,0.065370,2,2,2,1;2,1;2,1,16;16,0;0,"1:356.4586,0.2750,1.0329,0.0000;2:3.5384,-0.2750,-1.0380,0.0000",55.804209,0.275000,356.494440,0.212972
1779612065.460054,16,two_crossing,0.070439,2,2,2,1;2,1;2,1,17;17,0;0,"1:356.5417,0.2750,1.0481,0.0000;2:3.4556,-0.2750,-1.0523,0.0000",56.068432,0.275000,356.740405,0.330435
1779612065.525009,17,two_crossing,0.064956,2,2,2,1;2,1;2,1,18;18,0;0,"1:356.6192,0.2750,1.0617,0.0000;2:3.3784,-0.2750,-1.0652,0.0000",56.068432,0.275000,356.763237,0.240233
1779612065.589683,18,two_crossing,0.064674,2,2,2,1;2,1;2,1,19;19,0;0,"1:356.6966,0.2750,1.0739,0.0000;2:3.3012,-0.2750,-1.0769,0.0000",56.068432,0.275000,356.763237,0.240233
1779612065.655701,19,two_crossing,0.066018,2,2,2,1;2,1;2,1,20;20,0;0,"1:356.7752,0.2750,1.0845,0.0000;2:3.2229,-0.2750,-1.0871,0.0000",56.318809,0.275000,357.024788,0.487874
1779612065.725424,20,two_crossing,0.069723,2,2,2,1;2,1;2,1,21;21,0;0,"1:356.8564,0.2750,1.0922,0.0000;2:3.1420,-0.2750,-1.0943,0.0000",56.318809,0.275000,356.939371,0.335438
1779612065.790336,21,two_crossing,0.064911,2,2,2,1;2,1;2,1,22;22,0;0,"1:356.9326,0.2750,1.0995,0.0000;2:3.0659,-0.2750,-1.1013,0.0000",56.318809,0.275000,356.939371,0.335438
1779612065.855824,22,two_crossing,0.065489,2,2,2,1;2,1;2,1,23;23,0;0,"1:357.0096,0.2750,1.1063,0.0000;2:2.9891,-0.2750,-1.1077,0.0000",56.562511,0.275000,357.244974,0.374370
1779612065.928490,23,two_crossing,0.005896,2,2,2,1;2,1;2,1,24;24,0;0,"1:357.0926,0.2750,1.1094,0.0000;2:2.9064,-0.2750,-1.1104,0.0000",56.562511,0.275000,357.278857,0.360558
1779612065.992822,24,two_crossing,0.064332,2,2,2,1;2,1;2,1,25;25,0;0,"1:357.1670,0.2750,1.1132,0.0000;2:2.8321,-0.2750,-1.1140,0.0000",56.562511,0.275000,357.278857,0.360558
1779612066.057862,25,two_crossing,0.065040,2,2,2,1;2,1;2,1,26;26,0;0,"1:357.2425,0.2750,1.1173,0.0000;2:2.7567,-0.2750,-1.1180,0.0000",56.800946,0.275000,357.517887,0.533068
1779612066.123708,26,two_crossing,0.065846,2,2,2,1;2,1;2,1,27;27,0;0,"1:357.3189,0.2750,1.1212,0.0000;2:2.6804,-0.2750,-1.1217,0.0000",56.800946,0.275000,357.508123,0.277270
1779612066.191018,27,two_crossing,0.067310,2,2,2,1;2,1;2,1,28;28,0;0,"1:357.3966,0.2750,1.1242,0.0000;2:2.6028,-0.2750,-1.1246,0.0000",56.800946,0.275000,357.508123,0.277270
1779612066.258691,28,two_crossing,0.067672,2,2,2,1;2,1;2,1,29;29,0;0,"1:357.4742,0.2750,1.1263,0.0000;2:2.5253,-0.2750,-1.1266,0.0000",57.033848,0.275000,357.681536,0.217739
1779612066.326776,29,two_crossing,0.068085,2,2,2,1;2,1;2,1,30;30,0;0,"1:357.5518,0.2750,1.1276,0.0000;2:2.4478,-0.2750,-1.1277,0.0000",57.033848,0.275000,357.563108,0.297572
1779612066.389531,30,two_crossing,0.062755,2,2,2,1;2,1;2,1,31;31,0;0,"1:357.6247,0.2750,1.1305,0.0000;2:2.3749,-0.2750,-1.1306,0.0000",57.033848,0.275000,357.563108,0.297572
1779612066.456371,31,two_crossing,0.066840,2,2,2,1;2,1;2,1,32;32,0;0,"1:357.7019,0.2750,1.1327,0.0000;2:2.2978,-0.2750,-1.1328,0.0000",57.263845,0.275000,357.972856,0.257032
1779612066.523181,32,two_crossing,0.066810,2,2,2,1;2,1;2,1,33;33,0;0,"1:357.7788,0.2750,1.1344,0.0000;2:2.2209,-0.2750,-1.1345,0.0000",57.263845,0.275000,358.116141,0.363074
1779612066.593423,33,two_crossing,0.070242,2,2,2,1;2,1;2,1,34;34,0;0,"1:357.8584,0.2750,1.1343,0.0000;2:2.1414,-0.2750,-1.1342,0.0000",57.263845,0.275000,358.116141,0.363074
1779612066.659154,34,two_crossing,0.065731,2,2,2,1;2,1;2,1,35;35,0;0,"1:357.9332,0.2750,1.1347,0.0000;2:2.0666,-0.2750,-1.1345,0.0000",57.498665,0.275000,358.199549,0.357256
1779612066.726097,35,two_crossing,0.066943,2,2,2,1;2,1;2,1,36;36,0;0,"1:358.0094,0.2750,1.1350,0.0000;2:1.9905,-0.2750,-1.1348,0.0000",57.498665,0.275000,357.952813,0.130202
1779612066.792749,36,two_crossing,0.066652,2,2,2,1;2,1;2,1,37;37,0;0,"1:358.0853,0.2750,1.1353,0.0000;2:1.9146,-0.2750,-1.1351,0.0000",57.498665,0.275000,357.952813,0.130202
1779612066.860266,37,two_crossing,0.067518,2,2,2,1;2,1;2,1,38;38,0;0,"1:358.1619,0.2750,1.1353,0.0000;2:1.8380,-0.2750,-1.1350,0.0000",57.725889,0.275000,358.508507,0.312877
1779612066.926997,38,two_crossing,0.066731,2,2,2,1;2,1;2,1,39;39,0;0,"1:358.2377,0.2750,1.1353,0.0000;2:1.7622,-0.2750,-1.1351,0.0000",57.725889,0.275000,358.217687,0.487161
1779612066.992280,39,two_crossing,0.065282,2,2,2,1;2,1;2,1,40;40,0;0,"1:358.3124,0.2750,1.1360,0.0000;2:1.6876,-0.2750,-1.1358,0.0000",57.725889,0.275000,358.217687,0.487161
1779612067.057102,40,two_crossing,0.064822,2,2,2,1;2,1;2,1,41;41,0;0,"1:358.3870,0.2750,1.1374,0.0000;2:1.6129,-0.2750,-1.1373,0.0000",57.953195,0.275000,358.685523,0.226242
1779612067.123250,41,two_crossing,0.066149,2,2,2,1;2,1;2,1,42;42,0;0,"1:358.4632,0.2750,1.1386,0.0000;2:1.5367,-0.2750,-1.1385,0.0000",57.953195,0.275000,358.749113,0.347314
1779612067.190443,42,two_crossing,0.067193,2,2,2,1;2,1;2,1,43;43,0;0,"1:358.5403,0.2750,1.1393,0.0000;2:1.4597,-0.2750,-1.1393,0.0000",57.953195,0.275000,358.749113,0.347314
1779612067.256704,43,two_crossing,0.066261,2,2,2,1;2,1;2,1,44;44,0;0,"1:358.6163,0.2750,1.1400,0.0000;2:1.3837,-0.2750,-1.1400,0.0000",58.182055,0.275000,358.924174,0.282128
1779612067.323767,44,two_crossing,0.067063,2,2,2,1;2,1;2,1,45;45,0;0,"1:358.6929,0.2750,1.1403,0.0000;2:1.3070,-0.2750,-1.1403,0.0000",58.182055,0.275000,358.870484,0.219879
1779612067.391227,45,two_crossing,0.067460,2,2,2,1;2,1;2,1,46;46,0;0,"1:358.7698,0.2750,1.1402,0.0000;2:1.2302,-0.2750,-1.1401,0.0000",58.182055,0.275000,358.870484,0.219879
1779612067.456508,46,two_crossing,0.065282,2,2,2,1;2,1;2,1,47;47,0;0,"1:358.8446,0.2750,1.1407,0.0000;2:1.1554,-0.2750,-1.1406,0.0000",58.411841,0.275000,359.054906,0.348124
1779612067.526874,47,two_crossing,0.070366,2,2,2,1;2,1;2,1,48;48,0;0,"1:358.9239,0.2750,1.1394,0.0000;2:1.0761,-0.2750,-1.1393,0.0000",58.411841,0.275000,359.182582,0.216888
1779612067.594296,48,two_crossing,0.067421,2,2,2,1;2,1;2,1,49;49,0;0,"1:358.9998,0.2750,1.1382,0.0000;2:1.0003,-0.2750,-1.1380,0.0000",58.411841,0.275000,359.182582,0.216888
1779612067.657173,49,two_crossing,0.062878,2,2,2,1;2,1;2,1,50;50,0;0,"1:359.0719,0.2750,1.1389,0.0000;2:0.9281,-0.2750,-1.1388,0.0000",58.641261,0.275000,359.265333,0.342958
1779612067.723984,50,two_crossing,0.066810,2,2,2,1;2,1;2,1,51;51,0;0,"1:359.1484,0.2750,1.1394,0.0000;2:0.8517,-0.2750,-1.1393,0.0000",58.641261,0.275000,359.265333,0.342958
1779612067.790272,51,two_crossing,0.066288,2,2,2,1;2,1;2,1,52;52,0;0,"1:359.2243,0.2750,1.1399,0.0000;2:0.7757,-0.2750,-1.1398,0.0000",58.641261,0.275000,359.321624,0.193990
1779612067.858527,52,two_crossing,0.068255,2,2,2,1;2,1;2,1,53;53,0;0,"1:359.3018,0.2750,1.1396,0.0000;2:0.6982,-0.2750,-1.1395,0.0000",58.866224,0.275000,359.575454,0.353914
1779612067.925137,53,two_crossing,0.066610,2,2,2,1;2,1;2,1,54;54,0;0,"1:359.3776,0.2750,1.1394,0.0000;2:0.6224,-0.2750,-1.1393,0.0000",58.866224,0.275000,359.587799,0.169381
1779612067.992015,54,two_crossing,0.066878,2,2,2,1;2,1;2,1,55;55,0;0,"1:359.4536,0.2750,1.1391,0.0000;2:0.5464,-0.2750,-1.1390,0.0000",58.866224,0.275000,359.587799,0.169381
1779612068.058663,55,two_crossing,0.066648,2,2,2,1;2,1;2,1,56;56,0;0,"1:359.5294,0.2750,1.1390,0.0000;2:0.4706,-0.2750,-1.1389,0.0000",59.095339,0.275000,359.863255,0.372043
1779612068.124296,56,two_crossing,0.065633,2,2,2,1;2,1;2,1,57;57,0;0,"1:359.6044,0.2750,1.1393,0.0000;2:0.3956,-0.2750,-1.1392,0.0000",59.095339,0.275000,359.935219,0.317627
1779612068.191185,57,two_crossing,0.066889,2,2,2,1;2,1;2,1,58;58,0;0,"1:359.6807,0.2750,1.1394,0.0000;2:0.3193,-0.2750,-1.1394,0.0000",59.095339,0.275000,359.935219,0.317627
1779612068.258911,58,two_crossing,0.067727,2,2,2,1;2,1;2,1,59;59,0;0,"1:359.7576,0.2750,1.1391,0.0000;2:0.2424,-0.2750,-1.1390,0.0000",59.322534,0.275000,0.002492,0.369691
1779612068.325747,59,two_crossing,0.066836,2,2,2,1;2,1;2,1,60;60,0;0,"1:359.8335,0.2750,1.1388,0.0000;2:0.1665,-0.2750,-1.1387,0.0000",59.322534,0.275000,0.100573,0.237488
