timestamp,mode,frame_id,event,meas_count,track_count,valid_count,track_ids,valid_ids,master_id,track_id,meas_idx,meas_az,meas_el,pred_az,pred_el,cost,thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,r_az,r_el,q_pos,q_vel,cmd_az,cmd_el,gimbal_az,gimbal_el
1779551945.487250,static_single,16,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,17,0,,,,,,,0.021973,0.036178
1779551945.549303,static_single,17,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.852804,0.801870,0.442586,0.200409,17,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551945.548295,static_single,17,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,18,0,,,,,,,0.021973,0.036178
1779551945.609482,static_single,18,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.837395,0.791596,0.430237,0.196388,18,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551945.609482,static_single,18,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,19,0,,,,,,,0.002969,0.011314
1779551945.689579,static_single,19,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.858366,0.805577,0.443160,0.205795,19,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551945.688711,static_single,19,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,20,0,,,,,,,0.048701,0.111921
1779551945.750807,static_single,20,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.840477,0.793651,0.430452,0.199430,20,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551945.750807,static_single,20,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,21,0,,,,,,,0.048701,0.111921
1779551945.813123,static_single,21,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.828926,0.785951,0.421654,0.196064,21,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551945.813123,static_single,21,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,22,0,,,,,,,0.023634,-0.119224
1779551945.889622,static_single,22,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.845223,0.796815,0.431735,0.203180,22,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551945.889622,static_single,22,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,23,0,,,,,,,0.063295,-0.066135
1779551945.952267,static_single,23,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.830223,0.786815,0.421466,0.197613,23,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551945.951464,static_single,23,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,24,0,,,,,,,0.063295,-0.066135
1779551946.014777,static_single,24,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.822861,0.781907,0.415886,0.195493,24,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.014777,static_single,24,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,25,0,,,,,,,359.984945,-0.086759
1779551946.076123,static_single,25,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.814945,0.776630,0.409888,0.193266,25,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.076123,static_single,25,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,26,0,,,,,,,359.984945,-0.086759
1779551946.153682,static_single,26,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.836852,0.791234,0.423831,0.202221,26,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.153682,static_single,26,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,27,0,,,,,,,0.060237,-0.073557
1779551946.216717,static_single,27,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.826509,0.784339,0.417280,0.197908,27,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.216717,static_single,27,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,28,0,,,,,,,359.946108,-0.001722
1779551946.279123,static_single,28,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.818716,0.779144,0.411927,0.195138,28,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.279123,static_single,28,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,29,0,,,,,,,359.946108,-0.001722
1779551946.356000,static_single,29,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.837784,0.791856,0.424327,0.202708,29,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.356000,static_single,29,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,30,0,,,,,,,0.043113,0.101013
1779551946.418516,static_single,30,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.825843,0.783896,0.416814,0.197678,30,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.418516,static_single,30,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,31,0,,,,,,,0.043113,0.101013
1779551946.479903,static_single,31,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.816314,0.777543,0.410293,0.194279,31,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.479903,static_single,31,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,32,0,,,,,,,0.011100,0.012377
1779551946.558160,static_single,32,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.837086,0.791391,0.423738,0.202561,32,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.557500,static_single,32,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,33,0,,,,,,,0.052377,0.022987
1779551946.619535,static_single,33,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.824440,0.782960,0.415769,0.197257,33,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.619535,static_single,33,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,34,0,,,,,,,0.052377,0.022987
1779551946.682413,static_single,34,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.817702,0.778468,0.411103,0.194909,34,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.682413,static_single,34,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,35,0,,,,,,,359.941556,-0.078262
1779551946.744485,static_single,35,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.812258,0.774839,0.407096,0.193279,35,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.744485,static_single,35,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,36,0,,,,,,,359.941556,-0.078262
1779551946.821861,static_single,36,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.834222,0.789482,0.421286,0.201995,36,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.821861,static_single,36,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,37,0,,,,,,,0.020721,-0.025253
1779551946.884387,static_single,37,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.822027,0.781351,0.413720,0.196789,37,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.883386,static_single,37,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,38,0,,,,,,,0.092033,0.001163
1779551946.946009,static_single,38,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.816001,0.777334,0.409613,0.194636,38,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551946.946009,static_single,38,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,39,0,,,,,,,0.092033,0.001163
1779551947.009478,static_single,39,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.813679,0.775786,0.407765,0.194079,39,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.009478,static_single,39,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,40,0,,,,,,,0.117200,0.108489
1779551947.087382,static_single,40,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.836378,0.790919,0.422619,0.202934,40,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.087382,static_single,40,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,41,0,,,,,,,0.254693,0.036619
1779551947.150026,static_single,41,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.823719,0.782479,0.414888,0.197385,41,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.149040,static_single,41,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,42,0,,,,,,,0.254693,0.036619
1779551947.211305,static_single,42,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.816567,0.777711,0.410094,0.194741,42,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.211305,static_single,42,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,43,0,,,,,,,0.008137,-0.057961
1779551947.290007,static_single,43,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.836502,0.791001,0.423131,0.202552,43,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.288315,static_single,43,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,44,0,,,,,,,0.008137,-0.057961
1779551947.350563,static_single,44,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.824574,0.783049,0.415727,0.197438,44,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.350563,static_single,44,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,45,0,,,,,,,359.932832,-0.030456
1779551947.413294,static_single,45,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.817687,0.778458,0.411033,0.194963,45,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.413294,static_single,45,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,46,0,,,,,,,359.932832,-0.030456
1779551947.476277,static_single,46,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.813832,0.775888,0.408121,0.193882,46,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.476277,static_single,46,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,47,0,,,,,,,0.024060,-0.099944
1779551947.556150,static_single,47,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.837907,0.791938,0.423822,0.203343,47,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.555138,static_single,47,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,48,0,,,,,,,0.013764,0.074001
1779551947.618809,static_single,48,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.826185,0.784123,0.416704,0.198146,48,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.617807,static_single,48,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,49,0,,,,,,,0.013764,0.074001
1779551947.680024,static_single,49,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.817864,0.778576,0.411151,0.195029,49,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.680024,static_single,49,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,50,0,,,,,,,0.008754,0.051360
1779551947.757200,static_single,50,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.837362,0.791574,0.423889,0.202701,50,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.757200,static_single,50,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,51,0,,,,,,,359.962878,-0.140047
1779551947.819278,static_single,51,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.824614,0.783076,0.415890,0.197319,51,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.819278,static_single,51,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,52,0,,,,,,,359.962878,-0.140047
1779551947.880714,static_single,52,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.814613,0.776409,0.409054,0.193757,52,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.880209,static_single,52,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,53,0,,,,,,,0.115179,-0.030275
1779551947.943399,static_single,53,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.812054,0.774703,0.406855,0.193310,53,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551947.943399,static_single,53,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,54,0,,,,,,,0.115179,-0.030275
1779551948.021824,static_single,54,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.835913,0.790609,0.422336,0.202727,54,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551948.021824,static_single,54,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,55,0,,,,,,,0.069916,0.069400
1779551948.084783,static_single,55,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.823421,0.782281,0.414674,0.197289,55,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551948.083561,static_single,55,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,56,0,,,,,,,0.072459,-0.021813
1779551948.146253,static_single,56,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.816949,0.777966,0.410319,0.194912,56,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551948.146253,static_single,56,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,57,0,,,,,,,0.072459,-0.021813
1779551948.222769,static_single,57,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.835783,0.790522,0.422636,0.202289,57,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551948.222769,static_single,57,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,58,0,,,,,,,359.874288,-0.056131
1779551948.286340,static_single,58,MATCH_ACCEPT,1,,,,,,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.825694,0.783796,0.416441,0.197896,58,1,1.102500,0.275625,0.050000,0.200000,,,,
1779551948.286029,static_single,58,TRACK_SUMMARY,1,1,1,1,1,1,,,,,,,,,,,,59,0,,,,,,,359.874288,-0.056131
