timestamp,seq,mode,board,cam,meas_idx,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,raw_bbox_w,raw_bbox_h,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,clipped_bbox_w,clipped_bbox_h,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_cx,bbox_cy,bbox_w,bbox_h,is_edge_bbox,visible_ratio,mono_dist,meas_az,meas_el
1780467457.733371,,,BOARD_2,4,0,3097.000,1014.000,3141.000,1050.000,44.000,36.000,3097.000,1014.000,3141.000,1050.000,44.000,36.000,3097.000,1014.000,3141.000,1050.000,3119.000,1032.000,44.000,36.000,0,1.000000,141.760000,347.834493,9.720000
1780467457.733371,,,BOARD_2,4,1,3095.000,1013.000,3139.000,1049.000,44.000,36.000,3095.000,1013.000,3139.000,1049.000,44.000,36.000,3095.000,1013.000,3139.000,1049.000,3117.000,1031.000,44.000,36.000,0,1.000000,141.760000,347.825378,9.724583
1780467467.331886,,,BOARD_2,4,0,1149.000,1523.000,1185.000,1559.000,36.000,36.000,1149.000,1523.000,1185.000,1559.000,36.000,36.000,1149.000,1523.000,1185.000,1559.000,1167.000,1541.000,36.000,36.000,0,1.000000,173.260000,338.938659,7.387083
1780467470.903491,,,BOARD_2,4,0,1054.000,1493.000,1090.000,1529.000,36.000,36.000,1054.000,1493.000,1090.000,1529.000,36.000,36.000,1054.000,1493.000,1090.000,1529.000,1072.000,1511.000,36.000,36.000,0,1.000000,173.260000,338.505717,7.524583
1780467471.894963,,,BOARD_2,4,0,963.000,1489.000,999.000,1525.000,36.000,36.000,963.000,1489.000,999.000,1525.000,36.000,36.000,963.000,1489.000,999.000,1525.000,981.000,1507.000,36.000,36.000,0,1.000000,173.260000,338.091003,7.542917
1780467472.828442,,,BOARD_2,1,0,446.000,950.000,482.000,987.000,36.000,37.000,446.000,950.000,482.000,987.000,36.000,37.000,446.000,950.000,482.000,987.000,464.000,968.500,36.000,37.000,0,1.000000,173.260000,8.923883,10.011042
1780467472.828442,,,BOARD_2,1,1,446.000,950.000,482.000,987.000,36.000,37.000,446.000,950.000,482.000,987.000,36.000,37.000,446.000,950.000,482.000,987.000,464.000,968.500,36.000,37.000,0,1.000000,173.260000,8.923883,10.011042
1780467473.057528,,,BOARD_2,1,0,447.000,950.000,483.000,987.000,36.000,37.000,447.000,950.000,483.000,987.000,36.000,37.000,447.000,950.000,483.000,987.000,465.000,968.500,36.000,37.000,0,1.000000,173.260000,8.928441,10.011042
1780467474.263131,,,BOARD_2,4,0,783.000,1499.000,819.000,1535.000,36.000,36.000,783.000,1499.000,819.000,1535.000,36.000,36.000,783.000,1499.000,819.000,1535.000,801.000,1517.000,36.000,36.000,0,1.000000,173.260000,337.270691,7.497083
1780467474.889648,,,BOARD_2,4,0,781.000,1499.000,817.000,1535.000,36.000,36.000,781.000,1499.000,817.000,1535.000,36.000,36.000,781.000,1499.000,817.000,1535.000,799.000,1517.000,36.000,36.000,0,1.000000,173.260000,337.261576,7.497083
1780467474.889648,,,BOARD_2,4,1,781.000,1498.000,817.000,1534.000,36.000,36.000,781.000,1498.000,817.000,1534.000,36.000,36.000,781.000,1498.000,817.000,1534.000,799.000,1516.000,36.000,36.000,0,1.000000,173.260000,337.261576,7.501667
1780467475.425397,,,BOARD_2,4,0,775.000,1499.000,811.000,1535.000,36.000,36.000,775.000,1499.000,811.000,1535.000,36.000,36.000,775.000,1499.000,811.000,1535.000,793.000,1517.000,36.000,36.000,0,1.000000,173.260000,337.234232,7.497083
1780467475.425397,,,BOARD_2,4,1,774.000,1499.000,810.000,1535.000,36.000,36.000,774.000,1499.000,810.000,1535.000,36.000,36.000,774.000,1499.000,810.000,1535.000,792.000,1517.000,36.000,36.000,0,1.000000,173.260000,337.229675,7.497083
1780467483.868038,,,BOARD_3,4,0,1957.000,1406.000,2008.000,1446.000,51.000,40.000,1957.000,1406.000,2008.000,1446.000,51.000,40.000,1957.000,1406.000,2008.000,1446.000,1982.500,1426.000,51.000,40.000,0,1.000000,122.300000,323.037931,17.414167
1780467483.868038,,,BOARD_3,4,1,1957.000,1406.000,2008.000,1446.000,51.000,40.000,1957.000,1406.000,2008.000,1446.000,51.000,40.000,1957.000,1406.000,2008.000,1446.000,1982.500,1426.000,51.000,40.000,0,1.000000,122.300000,323.037931,17.414167
1780467486.410200,,,BOARD_3,3,0,642.000,1007.000,682.000,1058.000,40.000,51.000,642.000,1007.000,682.000,1058.000,40.000,51.000,642.000,1007.000,682.000,1058.000,662.000,1032.500,40.000,51.000,0,1.000000,155.930000,334.184227,19.217708
1780467486.410200,,,BOARD_3,3,1,644.000,1008.000,684.000,1059.000,40.000,51.000,644.000,1008.000,684.000,1059.000,40.000,51.000,644.000,1008.000,684.000,1059.000,664.000,1033.500,40.000,51.000,0,1.000000,155.930000,334.193342,19.213125
1780467486.809102,,,BOARD_3,3,0,887.000,1143.000,931.000,1187.000,44.000,44.000,887.000,1143.000,931.000,1187.000,44.000,44.000,887.000,1143.000,931.000,1187.000,909.000,1165.000,44.000,44.000,0,1.000000,141.760000,335.309878,18.610417
1780467487.803066,,,BOARD_3,3,0,1852.000,1401.000,1891.000,1452.000,39.000,51.000,1852.000,1401.000,1891.000,1452.000,39.000,51.000,1852.000,1401.000,1891.000,1452.000,1871.500,1426.500,39.000,51.000,0,1.000000,159.930000,339.696271,17.411875
1780467487.803066,,,BOARD_3,3,1,1853.000,1402.000,1892.000,1453.000,39.000,51.000,1853.000,1402.000,1892.000,1453.000,39.000,51.000,1853.000,1402.000,1892.000,1453.000,1872.500,1427.500,39.000,51.000,0,1.000000,159.930000,339.700829,17.407292
1780467489.412967,,,BOARD_3,3,0,3250.000,1620.000,3290.000,1671.000,40.000,51.000,3250.000,1620.000,3290.000,1671.000,40.000,51.000,3250.000,1620.000,3290.000,1671.000,3270.000,1645.500,40.000,51.000,0,1.000000,155.930000,346.069644,16.408125
1780467489.412967,,,BOARD_3,3,1,3251.000,1621.000,3291.000,1672.000,40.000,51.000,3251.000,1621.000,3291.000,1672.000,40.000,51.000,3251.000,1621.000,3291.000,1672.000,3271.000,1646.500,40.000,51.000,0,1.000000,155.930000,346.074201,16.403542
1780467489.876817,,,BOARD_6,1,0,3238.000,1429.000,3302.000,1548.000,64.000,119.000,3238.000,1429.000,3302.000,1548.000,64.000,119.000,3238.000,1429.000,3302.000,1548.000,3270.000,1488.500,64.000,119.000,0,1.000000,97.460000,27.922644,45.627708
1780467489.876817,,,BOARD_6,1,1,3240.000,1431.000,3304.000,1550.000,64.000,119.000,3240.000,1431.000,3304.000,1550.000,64.000,119.000,3240.000,1431.000,3304.000,1550.000,3272.000,1490.500,64.000,119.000,0,1.000000,97.460000,27.931758,45.618542
1780467494.014134,,,BOARD_2,2,0,3192.000,734.000,3256.000,853.000,64.000,119.000,3192.000,734.000,3256.000,853.000,64.000,119.000,3192.000,734.000,3256.000,853.000,3224.000,793.500,64.000,119.000,0,1.000000,97.460000,6.018608,10.813125
1780467494.014134,,,BOARD_2,2,1,3195.000,735.000,3259.000,854.000,64.000,119.000,3195.000,735.000,3259.000,854.000,64.000,119.000,3195.000,735.000,3259.000,854.000,3227.000,794.500,64.000,119.000,0,1.000000,97.460000,6.032280,10.808542
1780467495.070857,,,BOARD_2,1,0,1800.000,918.000,1932.000,1010.000,132.000,92.000,1800.000,918.000,1932.000,1010.000,132.000,92.000,1800.000,918.000,1932.000,1010.000,1866.000,964.000,132.000,92.000,0,1.000000,47.250000,15.313206,10.031667
1780467501.635062,,,BOARD_2,1,0,1901.000,1050.000,2365.000,1410.000,464.000,360.000,1901.000,1050.000,2365.000,1410.000,464.000,360.000,1901.000,1050.000,2365.000,1410.000,2133.000,1230.000,464.000,360.000,0,1.000000,13.440000,16.530003,8.812500
1780467501.635062,,,BOARD_2,1,1,1904.000,1053.000,2368.000,1413.000,464.000,360.000,1904.000,1053.000,2368.000,1413.000,464.000,360.000,1904.000,1053.000,2368.000,1413.000,2136.000,1233.000,464.000,360.000,0,1.000000,13.440000,16.543675,8.798750
1780467513.020708,,,BOARD_2,4,0,715.000,1282.000,1179.000,1642.000,464.000,360.000,715.000,1282.000,1179.000,1642.000,464.000,360.000,715.000,1282.000,1179.000,1642.000,947.000,1462.000,464.000,360.000,0,1.000000,13.440000,337.936055,7.749167
1780467513.352409,,,BOARD_2,4,0,883.000,1441.000,919.000,1477.000,36.000,36.000,883.000,1441.000,919.000,1477.000,36.000,36.000,883.000,1441.000,919.000,1477.000,901.000,1459.000,36.000,36.000,0,1.000000,173.260000,337.726420,7.762917
