timestamp,seq,mode,event,track_id,meas_idx,meas_az,meas_el,pred_az,map_az,pred_el,cost,dynamic_thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,reason,internal_track_id,ui_id,master_id,is_master,laser_track_id,distance,distance_source,track_laser_dist,track_laser_ts,track_laser_age,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,is_edge_bbox,visible_ratio
1780467457.733371,,,NEW_TRACK,1,0,347.829935,9.722292,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780467467.331886,,,MATCH_ACCEPT,1,0,338.938659,7.387083,347.829935,,9.722292,9.192823,76.084050,49.001100,1200.553891,1200.553891,1,47,,,,,,,,,,,,,,,,,,,,,
1780467470.903491,,,MATCH_ACCEPT,1,0,338.505717,7.524583,335.342437,,6.437654,3.344810,17.846445,10.386030,55.713313,52.156312,2,17,,,,,,,,,,,,,,,,,,,,,
1780467470.903491,,,TargetAcquire,1,,,,,,,,,,,,,,initial_acquire,,,,,,,,,,,,,,,,,,,,
1780467470.903491,,,UI_STATUS_SEND,1,,,,338.404011,158.404011,7.515026,,,,,,3,0,"internal_id=1,ui_id=1",1,1,1,1,-1,173.260000,mono,,,,,,,,,,,,,
1780467471.895962,,,MATCH_ACCEPT,1,0,338.091003,7.542917,338.305015,,7.573053,0.216123,6.027596,2.506797,4.256410,2.027622,3,4,,,,,,,,,,,,,,,,,,,,,
1780467471.894963,,,UI_STATUS_SEND,1,,,,338.155860,158.155860,7.548516,,,,,,4,0,"internal_id=1,ui_id=1",1,1,1,1,-1,173.260000,mono,,,,,,,,,,,,,
1780467472.828442,,,MATCH_REJECT,1,0,8.923883,10.011042,337.991278,,7.590123,31.027197,5.945940,2.452360,3.960980,2.053089,4,4,,,,,,,,,,,,,,,,,,,,,
1780467472.828442,,,NEW_TRACK,2,0,8.923883,10.011042,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780467472.828442,,,TargetLost,1,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780467473.057528,,,MATCH_ACCEPT,2,0,8.928441,10.011042,8.923883,,10.011042,0.004557,4.929473,1.774715,1.574807,1.574807,1,1,,,,,,,,,,,,,,,,,,,,,
1780467473.057528,,,TargetLost,1,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780467474.263131,,,MATCH_ACCEPT,1,0,337.270691,7.497083,337.743746,,7.652700,0.497993,9.745697,4.985531,14.781699,10.073822,2,10,,,,,,,,,,,,,,,,,,,,,
1780467474.263131,,,UI_STATUS_SEND,1,,,,337.323330,157.323330,7.503917,,,,,,3,0,"internal_id=1,ui_id=1",1,1,1,1,-1,173.260000,mono,,,,,,,,,,,,,
1780467474.889648,,,MATCH_ACCEPT,1,0,337.261576,7.499375,337.093990,,7.490775,0.167807,5.464598,2.131466,3.235561,1.307584,3,3,,,,,,,,,,,,,,,,,,,,,
1780467474.889648,,,UI_STATUS_SEND,1,,,,337.200596,157.200596,7.497127,,,,,,4,0,"internal_id=1,ui_id=1",1,1,1,1,-1,173.260000,mono,,,,,,,,,,,,,
1780467475.425397,,,MATCH_ACCEPT,1,0,337.231954,7.497083,337.060706,,7.489853,0.171400,4.881458,1.742705,2.128909,0.908112,4,2,,,,,,,,,,,,,,,,,,,,,
1780467475.425397,,,UI_STATUS_SEND,1,,,,337.152314,157.152314,7.494643,,,,,,5,0,"internal_id=1,ui_id=1",1,1,1,1,-1,173.260000,mono,,,,,,,,,,,,,
1780467483.530415,,no_packet,TRACK_DELETE,2,,,,8.957184,,10.011042,,,,1271.963672,1147.355234,0,50,,,,,,,,,,,,,,,,,,,,,
1780467483.868038,,,MATCH_ACCEPT,1,0,323.037931,17.414167,335.024308,,7.394829,15.622432,37.738053,23.647102,296.040105,263.145328,5,41,,,,,,,,,,,,,,,,,,,,,
1780467483.868038,,,UI_STATUS_SEND,1,,,,323.112402,143.112402,17.396580,,,,,,6,0,"internal_id=1,ui_id=1",1,1,1,1,-1,122.300000,mono,,,,,,,,,,,,,
1780467486.410200,,,MATCH_REJECT,1,0,334.188784,19.215417,317.891460,,21.369266,16.439034,12.777831,6.667221,23.816397,20.635435,6,12,,,,,,,,,,,,,,,,,,,,,
1780467486.410723,,,NEW_TRACK,3,0,334.188784,19.215417,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780467486.410200,,,TargetLost,1,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780467486.809102,,,MATCH_ACCEPT,3,0,335.309878,18.610417,334.188784,,19.215417,1.273922,5.186151,1.830301,1.675000,1.675000,1,1,,,,,,,,,,,,,,,,,,,,,
1780467486.809102,,,TargetLost,1,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780467487.803066,,,MATCH_ACCEPT,3,0,339.698550,17.409583,335.309494,,18.170693,4.454560,8.800579,4.145453,9.980614,7.204165,2,4,,,,,,,,,,,,,,,,,,,,,
1780467487.803066,,,TargetLost,1,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780467487.803066,,,TargetSwitch,3,,,,,,,,,,,,,,master_lost,,,,,,,,,,,,,,,,,,,,
1780467487.803066,,,UI_STATUS_SEND,3,,,,338.847507,158.847507,17.468116,,,,,,3,0,"internal_id=3,ui_id=2",3,2,3,1,-1,159.930000,mono,,,,,,,,,,,,,
1780467489.412967,,,MATCH_ACCEPT,3,0,346.071922,16.405833,344.601713,,15.438701,1.759790,9.252532,4.567888,14.227658,6.637941,3,7,,,,,,,,,,,,,,,,,,,,,
1780467489.412967,,,UI_STATUS_SEND,3,,,,345.884809,165.884809,16.335737,,,,,,4,0,"internal_id=3,ui_id=2",3,2,3,1,-1,155.930000,mono,,,,,,,,,,,,,
