timestamp,event,cmd_id,track_id,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el,gimbal_ctrl_az,gimbal_ctrl_el,target_ctrl_az,target_ctrl_el,err_az,err_el,is_settled,settle_time,laser_valid,laser_dist,laser_source,laser_ts,laser_age,laser_interval
1780299614.169389,GIMBAL_ATT,13,123,,,336.900000,4.300000,36.200000,4.300000,35.710102,4.305780,0.489898,0.005780,,,,,,,,
1780299614.427169,GIMBAL_ATT,13,123,,,336.500000,4.300000,35.800000,4.300000,35.710102,4.305780,0.089898,0.005780,,,,,,,,
1780299614.427169,GIMBAL_SETTLED,13,123,,,336.500000,4.300000,35.800000,4.300000,35.710102,4.305780,0.089898,0.005780,1,0.257781,,,,,,
1780299614.719249,LASER_TRIGGER,13,123,,,336.500000,4.300000,35.800000,4.300000,35.710102,4.305780,0.089898,0.005780,1,0.257781,0,,sddm,,,
1780299615.989797,GIMBAL_CMD,14,135,35.934784,3.629900,336.500000,4.300000,,,35.934784,3.629900,,,,,,,,,,
1780299615.989797,GIMBAL_CMD_SEND,14,135,,,,,,,35.934784,3.629900,,,,,,,,,,
1780299616.134984,GIMBAL_CMD,15,135,38.090450,3.494596,336.500000,4.300000,,,38.090450,3.494596,,,,,,,,,,
1780299616.228930,GIMBAL_CMD,16,135,39.424875,3.283776,336.500000,4.300000,,,39.424875,3.283776,,,,,,,,,,
1780299616.030966,GIMBAL_ATT,14,135,,,336.500000,4.200000,35.800000,4.200000,35.934784,3.629900,0.134784,0.570100,,,,,,,,
1780299616.299899,GIMBAL_CMD_PREEMPT,16,135,,,,,,,39.424875,3.629900,3.490091,0.346124,,,,,,,,
1780299616.549189,GIMBAL_CMD,17,135,40.724410,3.329988,336.500000,4.200000,,,40.724410,3.329988,,,,,,,,,,
1780299616.588598,GIMBAL_CMD,18,135,42.337585,4.320189,336.500000,4.200000,,,42.337585,4.320189,,,,,,,,,,
1780299616.299899,GIMBAL_ATT,16,135,,,336.500000,3.700000,35.800000,3.700000,39.424875,3.629900,3.624875,0.070100,,,,,,,,
1780299616.617789,GIMBAL_CMD_PREEMPT,18,135,,,,,,,42.337585,3.629900,2.912710,0.690289,,,,,,,,
1780299616.884703,GIMBAL_CMD,19,135,40.860229,5.197410,336.500000,3.700000,,,40.860229,5.197410,,,,,,,,,,
1780299616.617789,GIMBAL_ATT,18,135,,,337.500000,3.700000,36.800000,3.700000,42.337585,3.629900,5.537585,0.070100,,,,,,,,
1780299616.929589,GIMBAL_CMD_PREEMPT,19,135,,,,,,,40.860229,5.197410,1.477356,1.567510,,,,,,,,
1780299617.133778,GIMBAL_CMD,20,135,40.999259,4.544740,337.500000,3.700000,,,40.999259,4.544740,,,,,,,,,,
1780299617.198165,GIMBAL_CMD,21,135,40.641840,5.181343,337.500000,3.700000,,,40.641840,5.181343,,,,,,,,,,
1780299616.929589,GIMBAL_ATT,19,135,,,337.500000,3.700000,36.800000,3.700000,40.860229,5.197410,4.060229,1.497410,,,,,,,,
1780299617.539842,GIMBAL_CMD,22,136,38.931485,3.499023,337.500000,3.700000,,,38.931485,3.499023,,,,,,,,,,
1780299617.341262,GIMBAL_ATT,19,135,,,337.500000,3.700000,36.800000,3.700000,40.860229,5.197410,4.060229,1.497410,,,,,,,,
1780299617.656189,GIMBAL_CMD_PREEMPT,22,136,,,,,,,38.931485,3.499023,1.928744,1.698387,,,,,,,,
1780299617.656189,GIMBAL_ATT,22,136,,,340.300000,5.100000,39.600000,5.100000,38.931485,3.499023,0.668515,1.600977,,,,,,,,
1780299617.971058,GIMBAL_ATT,22,136,,,340.300000,5.100000,39.600000,5.100000,38.931485,3.499023,0.668515,1.600977,,,,,,,,
1780299618.424537,GIMBAL_ATT,22,136,,,339.600000,3.400000,38.900000,3.400000,38.931485,3.499023,0.031485,0.099023,,,,,,,,
1780299618.424537,GIMBAL_SETTLED,22,136,,,339.600000,3.400000,38.900000,3.400000,38.931485,3.499023,0.031485,0.099023,1,0.768348,,,,,,
1780299618.715706,LASER_TRIGGER,22,136,,,339.600000,3.400000,38.900000,3.400000,38.931485,3.499023,0.031485,0.099023,1,0.768348,0,,sddm,,,
1780299621.231812,GIMBAL_CMD,23,153,40.415470,3.921711,339.600000,3.400000,,,40.415470,3.921711,,,,,,,,,,
1780299621.231812,GIMBAL_CMD_SEND,23,153,,,,,,,40.415470,3.921711,,,,,,,,,,
1780299621.272912,GIMBAL_ATT,23,153,,,340.600000,3.500000,39.900000,3.500000,40.415470,3.921711,0.515470,0.421711,,,,,,,,
1780299621.496319,GIMBAL_ATT,23,153,,,340.600000,3.500000,39.900000,3.500000,40.415470,3.921711,0.515470,0.421711,,,,,,,,
1780299621.862018,GIMBAL_ATT,23,153,,,341.000000,3.900000,40.300000,3.900000,40.415470,3.921711,0.115470,0.021711,,,,,,,,
1780299621.862018,GIMBAL_SETTLED,23,153,,,341.000000,3.900000,40.300000,3.900000,40.415470,3.921711,0.115470,0.021711,1,0.630206,,,,,,
1780299622.154798,LASER_TRIGGER,23,153,,,341.000000,3.900000,40.300000,3.900000,40.415470,3.921711,0.115470,0.021711,1,0.630206,0,,sddm,,,
1780299622.894738,GIMBAL_CMD,24,153,35.320968,5.275749,341.000000,3.900000,,,35.320968,5.275749,,,,,,,,,,
1780299622.933723,GIMBAL_CMD_SEND,24,153,,,,,,,35.320968,5.275749,,,,,,,,,,
1780299623.132992,GIMBAL_CMD,25,153,34.997141,5.892242,341.000000,3.900000,,,34.997141,5.892242,,,,,,,,,,
1780299622.974296,GIMBAL_ATT,24,153,,,340.000000,4.000000,39.300000,4.000000,35.320968,5.275749,3.979032,1.275749,,,,,,,,
1780299623.270812,GIMBAL_CMD,26,164,36.736010,3.681743,340.000000,4.000000,,,36.736010,3.681743,,,,,,,,,,
1780299623.282069,GIMBAL_CMD_PREEMPT,26,164,,,,,,,36.736010,3.681743,1.415042,1.594006,,,,,,,,
1780299623.611573,GIMBAL_CMD,27,153,34.128908,6.314449,340.000000,4.000000,,,34.128908,6.314449,,,,,,,,,,
1780299623.282069,GIMBAL_ATT,26,164,,,340.000000,5.000000,39.300000,5.000000,36.736010,3.681743,2.563990,1.318257,,,,,,,,
1780299623.645661,GIMBAL_CMD_PREEMPT,27,153,,,,,,,34.128908,6.314449,2.607102,2.632706,,,,,,,,
1780299623.645661,GIMBAL_ATT,27,153,,,336.300000,3.700000,35.600000,3.700000,34.128908,6.314449,1.471092,2.614449,,,,,,,,
1780299624.039912,GIMBAL_CMD,28,153,35.659886,4.991124,336.300000,3.700000,,,35.659886,4.991124,,,,,,,,,,
1780299624.000578,GIMBAL_ATT,27,153,,,334.800000,3.700000,34.100000,3.700000,34.128908,6.314449,0.028908,2.614449,,,,,,,,
