timestamp,event,cmd_id,track_id,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el,gimbal_ctrl_az,gimbal_ctrl_el,target_ctrl_az,target_ctrl_el,err_az,err_el,is_settled,settle_time,laser_valid,laser_dist,laser_source,laser_ts,laser_age,laser_interval
1780303747.487465,GIMBAL_CMD_SEND,0,-1,,,,,,,59.300000,0.000000,,,,,,,,,,
1780303747.843689,GIMBAL_ATT,0,-1,,,359.900000,-0.000000,59.200000,-0.000000,59.300000,0.000000,0.100000,0.000000,,,,,,,,
1780303747.843689,GIMBAL_SETTLED,0,-1,,,359.900000,-0.000000,59.200000,-0.000000,59.300000,0.000000,0.100000,0.000000,1,0.356224,,,,,,
1780303748.141384,LASER_TRIGGER,0,-1,,,359.900000,-0.000000,59.200000,-0.000000,59.300000,0.000000,0.100000,0.000000,1,0.356224,0,,sddm,,,
1780303916.017251,GIMBAL_CMD,1,28,67.298639,4.697178,359.900000,-0.000000,,,67.298639,4.697178,,,,,,,,,,
1780303916.037922,GIMBAL_CMD_SEND,1,28,,,,,,,67.298639,4.697178,,,,,,,,,,
1780303916.294289,GIMBAL_CMD,2,28,67.329310,4.166282,359.900000,-0.000000,,,67.329310,4.166282,,,,,,,,,,
1780303916.079111,GIMBAL_ATT,1,28,,,1.000000,0.100000,60.300000,0.100000,67.298639,4.697178,6.998639,4.597178,,,,,,,,
1780303916.388524,GIMBAL_ATT,1,28,,,6.100000,1.400000,65.400000,1.400000,67.298639,4.697178,1.898639,3.297178,,,,,,,,
1780303916.688948,GIMBAL_ATT,1,28,,,6.100000,1.400000,65.400000,1.400000,67.298639,4.697178,1.898639,3.297178,,,,,,,,
1780303917.346382,GIMBAL_CMD,3,4,68.480917,3.621981,6.100000,1.400000,,,68.480917,3.621981,,,,,,,,,,
1780303917.149934,GIMBAL_ATT,1,28,,,7.800000,4.500000,67.100000,4.500000,67.298639,4.697178,0.198639,0.197178,,,,,,,,
1780303917.149934,GIMBAL_SETTLED,1,28,,,7.800000,4.500000,67.100000,4.500000,67.298639,4.697178,0.198639,0.197178,1,1.112012,,,,,,
1780303917.433983,LASER_TRIGGER,1,28,,,7.800000,4.500000,67.100000,4.500000,67.298639,4.697178,0.198639,0.197178,1,1.112012,0,,sddm,,,
1780303917.433983,GIMBAL_CMD_SEND,3,4,,,,,,,68.480917,3.621981,,,,,,,,,,
1780303917.475016,GIMBAL_ATT,3,4,,,8.900000,4.500000,68.200000,4.500000,68.480917,3.621981,0.280917,0.878019,,,,,,,,
1780303917.857747,GIMBAL_CMD,4,4,68.341454,4.304057,8.900000,4.500000,,,68.341454,4.304057,,,,,,,,,,
1780303917.711585,GIMBAL_ATT,3,4,,,8.900000,4.500000,68.200000,4.500000,68.480917,3.621981,0.280917,0.878019,,,,,,,,
1780303918.098078,GIMBAL_CMD,5,4,68.277955,3.715685,8.900000,4.500000,,,68.277955,3.715685,,,,,,,,,,
1780303918.228715,GIMBAL_CMD,6,4,68.037737,5.645660,8.900000,4.500000,,,68.037737,5.645660,,,,,,,,,,
1780303918.074926,GIMBAL_ATT,3,4,,,9.000000,3.700000,68.300000,3.700000,68.480917,3.621981,0.180917,0.078019,,,,,,,,
1780303918.074926,GIMBAL_SETTLED,3,4,,,9.000000,3.700000,68.300000,3.700000,68.480917,3.621981,0.180917,0.078019,1,0.640943,,,,,,
1780303918.370101,LASER_TRIGGER,3,4,,,9.000000,3.700000,68.300000,3.700000,68.480917,3.621981,0.180917,0.078019,1,0.640943,0,,sddm,,,
1780303918.370101,GIMBAL_CMD_SEND,6,4,,,,,,,68.037737,5.645660,,,,,,,,,,
1780303918.626781,GIMBAL_CMD,7,4,67.418673,5.200866,9.000000,3.700000,,,67.418673,5.200866,,,,,,,,,,
1780303918.681872,GIMBAL_CMD,8,31,68.566921,3.640845,9.000000,3.700000,,,68.566921,3.640845,,,,,,,,,,
1780303918.411159,GIMBAL_ATT,6,4,,,9.000000,3.700000,68.300000,3.700000,68.037737,5.645660,0.262263,1.945660,,,,,,,,
1780303918.800668,GIMBAL_CMD_PREEMPT,8,31,,,,,,,68.566921,3.640845,0.529184,2.004815,,,,,,,,
1780303918.800668,GIMBAL_ATT,8,31,,,9.000000,5.200000,68.300000,5.200000,68.566921,3.640845,0.266921,1.559155,,,,,,,,
1780303919.174173,GIMBAL_ATT,8,31,,,9.100000,5.200000,68.400000,5.200000,68.566921,3.640845,0.166921,1.559155,,,,,,,,
1780303919.876657,GIMBAL_CMD,9,4,69.208284,4.964870,9.100000,5.200000,,,69.208284,4.964870,,,,,,,,,,
