timestamp,seq,mode,dt,raw_meas_count,fused_meas_count,fusion_groups,meas_count,track_count,valid_count,track_ids,valid_ids,master_id,hit_streaks,time_since_updates,track_states,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el
1780384352.746483,,,0.250000,2,2,"0:n=1,raw=0,src=BOARD_2/4;1:n=1,raw=1,src=BOARD_6/0",2,2,0,1;2,,,1;1,0;0,"1:334.7687,6.2321,0.0000,0.0000;2:43.5340,45.1396,0.0000,0.0000",,,349.900000,59.000000
1780384353.102379,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_5/0",1,3,0,1;2;3,,,0;0;1,1;1;0,"1:334.7687,6.2321,0.0000,0.0000;2:43.5340,45.1396,0.0000,0.0000;3:36.1640,39.8906,0.0000,0.0000",,,359.900000,54.900000
1780384354.443566,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_8/1",1,4,0,1;2;3;4,,,0;0;0;1,7;7;6;0,"1:334.7687,6.2321,0.0000,0.0000;2:43.5340,45.1396,0.0000,0.0000;3:36.1640,39.8906,0.0000,0.0000;4:31.5773,68.1385,0.0000,0.0000",,,359.900000,32.100000
1780384354.965852,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_7/1",1,5,0,1;2;3;4;5,,,0;0;0;0;1,9;9;8;2;0,"1:334.7687,6.2321,0.0000,0.0000;2:43.5340,45.1396,0.0000,0.0000;3:36.1640,39.8906,0.0000,0.0000;4:31.5773,68.1385,0.0000,0.0000;5:22.5592,59.9860,0.0000,0.0000",,,359.900000,27.300000
1780384355.402820,,,0.236761,1,1,"0:n=1,raw=0,src=BOARD_6/2",1,6,0,1;2;3;4;5;6,,,0;0;0;0;0;1,11;11;10;4;2;0,"1:334.7687,6.2321,0.0000,0.0000;2:43.5340,45.1396,0.0000,0.0000;3:36.1640,39.8906,0.0000,0.0000;4:31.5773,68.1385,0.0000,0.0000;5:22.5592,59.9860,0.0000,0.0000;6:4.1902,47.8002,0.0000,0.0000",,,359.900000,21.100000
1780384355.908976,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_5/2",1,7,0,1;2;3;4;5;6;7,,,0;0;0;0;0;0;1,13;13;12;6;4;2;0,"1:334.7687,6.2321,0.0000,0.0000;2:43.5340,45.1396,0.0000,0.0000;3:36.1640,39.8906,0.0000,0.0000;4:31.5773,68.1385,0.0000,0.0000;5:22.5592,59.9860,0.0000,0.0000;6:4.1902,47.8002,0.0000,0.0000;7:358.7446,35.2065,0.0000,0.0000",,,359.900000,9.000000
