[Log] stdout/stderr -> logs\20260602_111208\main_tracking_v9_20260602_111208.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260602_111208
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM12@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM14...
[GT06Z] Driver Ready on COM14.
[Adapter] GT06Z 云台已连接: COM14
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408105668, lon=104.0886395945
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM15
[Laser] start_measurement mode=continuous
[Init] UI distance priority: laser -> mono; UDP distance disabled
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.04s, meas=1, tracks=5, valid=0, master=10
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.04s, meas=1, tracks=5, valid=0, master=10
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.31s, meas=2, tracks=6, valid=0, master=10
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.4081047515, lon=104.0886407005
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.06s, meas=1, tracks=6, valid=0, master=10
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.16s, meas=1, tracks=7, valid=0, master=16
[LIVE] udp=4.0/s, objs=8.0/s, last_udp=0.02s, meas=1, tracks=7, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.02s, meas=3, tracks=9, valid=0, master=16
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.75s, meas=2, tracks=11, valid=0, master=16
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.35s, meas=1, tracks=11, valid=0, master=16
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.04s, meas=1, tracks=10, valid=0, master=16
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.03s, meas=1, tracks=10, valid=0, master=20
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.03s, meas=1, tracks=10, valid=1, master=19
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.17s, meas=2, tracks=9, valid=2, master=19
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408104735833334, lon=104.0886405935
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.22s, meas=2, tracks=10, valid=1, master=19
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.03s, meas=1, tracks=10, valid=1, master=19
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.19s, meas=1, tracks=10, valid=1, master=24
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.46s, meas=1, tracks=10, valid=1, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.46s, meas=1, tracks=10, valid=1, master=24
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.03s, meas=1, tracks=7, valid=1, master=24
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.60s, meas=1, tracks=7, valid=1, master=24
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.18s, meas=1, tracks=6, valid=1, master=24
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.31s, meas=1, tracks=6, valid=1, master=24
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.31s, meas=1, tracks=5, valid=0, master=24
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408104713833332, lon=104.08864025566666
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.70s, meas=0, tracks=3, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.71s, meas=0, tracks=3, valid=0, master=24
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.68s, meas=1, tracks=3, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.69s, meas=1, tracks=3, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.69s, meas=1, tracks=3, valid=0, master=24
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.24s, meas=0, tracks=3, valid=0, master=24
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.36s, meas=1, tracks=3, valid=0, master=24
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.32s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.32s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.33s, meas=1, tracks=4, valid=0, master=24
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408104546, lon=104.08863978233333
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.33s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.34s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.34s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=6.35s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=7.35s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=8.35s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=9.35s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=10.36s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=11.36s, meas=1, tracks=4, valid=0, master=24
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=12.36s, meas=1, tracks=4, valid=0, master=24
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408104132833333, lon=104.08863923833333
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.62s, meas=2, tracks=2, valid=0, master=24
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.31s, meas=2, tracks=3, valid=0, master=24
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.48s, meas=1, tracks=3, valid=1, master=28
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.49s, meas=1, tracks=3, valid=1, master=28
[LIVE] udp=3.0/s, objs=4.0/s, last_udp=0.17s, meas=1, tracks=3, valid=0, master=28
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.18s, meas=1, tracks=4, valid=0, master=28
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.18s, meas=1, tracks=4, valid=0, master=28
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.18s, meas=1, tracks=4, valid=0, master=28
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.19s, meas=1, tracks=4, valid=0, master=28
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.19s, meas=1, tracks=4, valid=0, master=28
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408103784833333, lon=104.08863886883333
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=6.19s, meas=1, tracks=4, valid=0, master=28
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=7.19s, meas=1, tracks=4, valid=0, master=28
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=8.19s, meas=1, tracks=4, valid=0, master=28
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=9.20s, meas=1, tracks=4, valid=0, master=28
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.22s, meas=1, tracks=2, valid=1, master=29
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.07s, meas=1, tracks=2, valid=1, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.07s, meas=1, tracks=2, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.07s, meas=1, tracks=2, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.07s, meas=1, tracks=2, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.07s, meas=1, tracks=2, valid=0, master=29
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408103424333333, lon=104.08863885183334
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.08s, meas=1, tracks=2, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=6.08s, meas=1, tracks=2, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=7.08s, meas=1, tracks=2, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=8.08s, meas=1, tracks=2, valid=0, master=29
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=9.09s, meas=1, tracks=2, valid=0, master=29
