t,visible_targets,track_count,master_track_id,truth_az,truth_el,gimbal_ui_az,gimbal_el,err_az,err_el,err_total
0.0,1,0,-1,4.0,29.2,0.0,0.0,4.0,29.2,29.47269923166183
0.05,1,0,-1,4.049495823543218,29.21814917645496,0.0,0.0,4.049495823543225,29.21814917645496,29.49743476511932
0.1,1,1,1,4.098966590882853,29.236293411908733,0.0,0.0,4.098966590882867,29.236293411908733,29.522235341863798
0.15000000000000002,0,0,1,4.148387258499488,29.25442776670528,2.999997138977051,2.999997138977051,1.1483901195224462,26.25443062772823,26.27953438424682
0.2,1,1,1,4.1977328082356244,29.272547303878525,4.065834661223448,5.999994277954102,0.13189814701217983,23.272553025924424,23.272926791996948
0.25,1,1,1,4.246978259960583,29.290647090496382,4.065834661223448,9.061217308044434,0.1811435987371226,20.22942978245195,20.23024078765543
0.30000000000000004,1,1,1,4.296098684216166,29.308722199003746,4.065834661223448,12.061214447021484,0.23026402299271354,17.247507751982262,17.249044761231648
0.35000000000000003,0,0,1,4.345069214836663,29.326767708563967,4.3339104059675435,15.061211585998535,0.011158808869112136,14.265556122565432,14.265560486888674
0.4,1,1,1,4.393865061536813,29.344778706398525,4.3339104059675435,18.061208724975586,0.059954655569271154,11.28356998142294,11.283729263253052
0.45,1,1,1,4.442461522461361,29.362750289124513,4.3339104059675435,21.061205863952637,0.1085511164938282,8.301544425171876,8.302254102832213
0.5,1,1,1,4.49083399668984,29.380677564089527,4.3339104059675435,24.061203002929688,0.15692359072230033,5.31947456115984,5.3217886673703845
0.55,1,1,1,4.538957996690267,29.3985556507037,4.587194626664413,27.120909690856934,0.048236629974155676,2.2776459598467653,2.278156687077857
0.6000000000000001,1,1,1,4.586809160715429,29.416379681768365,4.587194626664413,29.425731744692797,0.00038546594899457887,0.009352062924431692,0.009360003469035903
0.65,1,1,1,4.634363265135497,29.434144804801164,4.587194626664413,29.425731744692797,0.047168638471077884,0.008413060108367176,0.04791304661156758
0.7000000000000001,1,1,1,4.681596236700726,29.45184618335708,4.587194626664413,29.425731744692797,0.0944016100363001,0.026114438664283313,0.09794706674625989
0.75,0,0,1,4.728484164728019,29.46947899834513,4.812336878278259,29.50129144931972,0.08385271355024315,0.03181245097458785,0.08968450037074237
0.8,1,1,1,4.7750033132051986,29.487038449340353,4.812336878278259,29.50129144931972,0.0373335650730553,0.01425299997936591,0.03996177034962114
0.8500000000000001,1,1,1,4.821130132806861,29.50451975589067,4.812336878278259,29.50129144931972,0.008793254528598027,0.003228306570949968,0.009367138758486951
0.9,1,1,1,4.866841272815717,29.521918158818345,4.812336878278259,29.50129144931972,0.05450439453744593,0.020626709498625218,0.05827684075715019
0.9500000000000001,1,1,1,4.912113592943393,29.539228921515647,4.812336878278259,29.50129144931972,0.09977671466512561,0.037937472195928024,0.10674570055033929
1.0,1,1,1,4.956924175044707,29.556447331234356,5.051420027896725,29.591961722568165,0.09449585285202033,0.03551439133380896,0.10094918621782745
1.05,1,1,1,5.001250334719493,29.57356870036877,5.051420027896725,29.591961722568165,0.05016969317722442,0.018393022199393982,0.053435020156487614
1.1,1,1,1,5.045069632796092,29.5905883677319,5.051420027896725,29.591961722568165,0.006350395100639616,0.0013733548362644399,0.006497201046644515
1.1500000000000001,1,1,1,5.0883598866907045,29.607501699824432,5.051420027896725,29.591961722568165,0.036939858793971325,0.015539977256267434,0.04007547954602477
1.2000000000000002,1,1,1,5.131099181636849,29.624304092096168,5.051420027896725,29.591961722568165,0.07967915374013046,0.032342369528002735,0.08599300208406045
1.25,1,1,1,5.173265881779244,29.640990970199592,5.277984523460958,29.67910757394297,0.10471864168169986,0.03811660374337933,0.11143998114047779
1.3,1,1,1,5.2148386411265015,29.65755779123521,5.277984523460958,29.67910757394297,0.06314588233445306,0.021549782707761977,0.06672177748343001
1.35,1,1,1,5.255796414357071,29.674000044988325,5.277984523460958,29.67910757394297,0.022188109103893794,0.005107528954646057,0.022768378019280215
1.4000000000000001,1,1,1,5.2961184674729935,29.69031325515691,5.277984523460958,29.67910757394297,0.018133944012049596,0.011205681213937169,0.021316829428893354
1.4500000000000002,1,1,1,5.335784388296039,29.70649298057025,5.277984523460958,29.67910757394297,0.05779986483508992,0.027385406627278286,0.0639592438283634
1.5,1,1,1,5.37477409680094,29.722534816398046,5.4840999143549425,29.756371442898622,0.10932581755400861,0.03383662650057673,0.11444235088808648
1.55,1,1,1,5.41306785528047,29.73843439534957,5.4840999143549425,29.756371442898622,0.07103205907446863,0.01793704754905079,0.07326179830672812
1.6,1,1,1,5.450646278337241,29.75418738886267,5.4840999143549425,29.756371442898622,0.03345363601769691,0.0021840540359541194,0.033524854285089965
1.6500000000000001,1,1,1,5.487490342697146,29.769789508282148,5.4840999143549425,29.756371442898622,0.003390428342214591,0.013418065383525857,0.01383977900763834
1.7000000000000002,1,1,1,5.523581396839483,29.78523650602737,5.4840999143549425,29.756371442898622,0.03948148248454686,0.028865063128748147,0.0489078657130343
1.75,1,1,1,5.558901170438892,29.80052417674861,5.4840999143549425,29.756371442898622,0.07480125608395838,0.04415273384998741,0.08686018546011598
1.8,1,1,1,5.593431783614314,29.815648358471933,5.698339841614967,29.84901343068857,0.10490805800066028,0.033365072216636094,0.11008600582040953
1.85,1,1,1,5.627155755980302,29.830604933732285,5.698339841614967,29.84901343068857,0.0711840856346555,0.018408496956283216,0.07352582408808117
1.9000000000000001,1,1,1,5.66005601549609,29.845389830694437,5.698339841614967,29.84901343068857,0.038283826118885145,0.0036235999941318653,0.03845493231327426
1.9500000000000002,1,1,1,5.692115907107952,29.859999024261505,5.698339841614967,29.84901343068857,0.006223934507005424,0.01098559357293638,0.012626188138042057
2.0,1,1,1,5.7233192011804634,29.874428537170775,5.698339841614967,29.84901343068857,0.024979359565492132,0.025415106482206795,0.03563560076389976
2.0500000000000003,1,1,1,5.753650101712412,29.888674441076493,5.698339841614967,29.84901343068857,0.055310260097456876,0.03966101038792402,0.06806041887205329
2.1,1,1,1,5.783093254333181,29.9027328576193,5.698339841614967,29.84901343068857,0.08475341271821435,0.05371942693072995,0.10034399731498647
2.15,1,1,1,5.811633754075577,29.91659995948213,5.917895616913327,29.95300058825514,0.10626186283775496,0.0364006287730092,0.11232359177314566
2.2,0,0,1,5.839257152921146,29.93027197143216,5.917895616913327,29.95300058825514,0.07863846399217778,0.022728616822980996,0.08185718075853171
2.25,1,1,1,5.865949467114175,29.94374517134857,5.917895616913327,29.95300058825514,0.05194614979916423,0.00925541690656928,0.052764241879056865
2.3000000000000003,1,1,1,5.891697184240677,29.957015891235915,5.917895616913327,29.95300058825514,0.026198432672657646,0.004015302980775459,0.02650434931348438
2.35,1,1,1,5.916487270068748,29.970080518222662,5.917895616913327,29.95300058825514,0.0014083468445846847,0.01707992996752239,0.017137895102086517
2.4000000000000004,1,1,1,5.940307175146885,29.98293549554482,5.917895616913327,29.95300058825514,0.022411558233557116,0.029934907289678847,0.03739487420620358
2.45,1,1,1,5.963144841156862,29.9955773235142,5.917895616913327,29.95300058825514,0.04524922424354827,0.04257673525906114,0.062131076603927415
2.5,1,1,1,5.98498870701801,30.008002560471237,5.917895616913327,29.95300058825514,0.06709309010469156,0.05500197221609682,0.08675655414697235
2.5500000000000003,1,1,1,6.005827714739755,30.0202078237219,5.917895616913327,29.95300058825514,0.08793209782643885,0.06720723546676055,0.11067459657592166
2.6,1,1,1,6.025651315019498,30.03218979045867,6.12064089248166,30.06306542274549,0.09498957746217229,0.030875632286818444,0.09988155232850987
2.6500000000000004,1,1,1,6.044449472582974,30.0439451986651,6.12064089248166,30.06306542274549,0.07619141989869149,0.019120224080388937,0.07855390146302732
2.7,1,1,1,6.062212671264387,30.055470848003917,6.12064089248166,30.06306542274549,0.05842822121726954,0.007594574741570881,0.058919730142962236
2.75,1,1,1,6.078931918823775,30.066763600688283,6.12064089248166,30.06306542274549,0.04170897365787596,0.0036981779427947004,0.04187260445315008
2.8000000000000003,1,1,1,6.094598751499134,30.07782038233603,6.12064089248166,30.06306542274549,0.026042140982525552,0.014754959590540295,0.029931621063220313
2.85,1,1,1,6.109205238291024,30.08863818280664,6.12064089248166,30.06306542274549,0.011435654190648847,0.025572760061152167,0.028013215522559417
2.9000000000000004,1,1,1,6.122743984977452,30.09921405702076,6.12064089248166,30.06306542274549,0.0021030924957869956,0.03614863427527126,0.036209760535153394
2.95,1,1,1,6.135208137857061,30.109545125761954,6.12064089248166,30.06306542274549,0.014567245375388893,0.04647970301646609,0.04870900769185999
3.0,1,1,1,6.14659138721865,30.11962857646057,6.12064089248166,30.06306542274549,0.025950494737003282,0.05656315371508214,0.06223197357702265
3.0500000000000003,1,1,1,6.156887970535344,30.12946166395944,6.12064089248166,30.06306542274549,0.036247078053690984,0.06639624121395116,0.07564596165540863
3.1,1,1,1,6.166092675381744,30.139041711261225,6.12064089248166,30.06306542274549,0.04545178290007357,0.07597628851573646,0.08853395385625702
3.1500000000000004,1,1,1,6.174200842072606,30.148366110257214,6.12064089248166,30.06306542274549,0.05355994959094801,0.08530068751172593,0.10072177267184096
3.2,1,1,1,6.1812083660217105,30.157432322437383,6.257883085978904,30.187590892030123,0.07667471995719666,0.030158569592739326,0.08239266957924493
3.25,1,1,1,6.187111699819717,30.16623787958146,6.257883085978904,30.187590892030123,0.07077138615917988,0.021353012448663833,0.07392252863318834
3.3000000000000003,1,1,1,6.191907855029969,30.1747803844309,6.257883085978904,30.187590892030123,0.06597523094893631,0.012810507599223087,0.06720744157989676
3.35,1,1,1,6.195594403701323,30.183057511341524,6.257883085978904,30.187590892030123,0.06228868227756834,0.004533380688599209,0.06245343449597965
3.4000000000000004,1,1,1,6.198169479597247,30.19106700691665,6.257883085978904,30.187590892030123,0.05971360638164924,0.0034761148865278813,0.0598146985431414
3.45,1,1,1,6.199631779140566,30.198806690620586,6.257883085978904,30.187590892030123,0.05825130683834345,0.011215798590463066,0.05932123470054102
3.5,1,1,1,6.1999805620733675,30.206274455372245,6.257883085978904,30.187590892030123,0.05790252390553974,0.01868356334212251,0.06084223708732861
3.5500000000000003,1,1,1,6.199215651831738,30.2134682681188,6.257883085978904,30.187590892030123,0.058667434147167796,0.02587737608867613,0.0641210294883594
3.6,1,1,1,6.197337435635153,30.220386170389162,6.257883085978904,30.187590892030123,0.06054565034375514,0.03279527835903906,0.06885714239056913
3.6500000000000004,1,1,1,6.1943468642904485,30.22702627882717,6.257883085978904,30.187590892030123,0.06353622168845163,0.03943538679704872,0.07477968439540861
3.7,1,1,1,6.1902454517104974,30.233386785704315,6.257883085978904,30.187590892030123,0.06763763426840796,0.045795893674192456,0.08168300586318342
3.75,1,1,1,6.185035274147825,30.239465959411888,6.257883085978904,30.187590892030123,0.0728478118310818,0.05187506738176495,0.08943056694687423
3.8000000000000003,1,1,1,6.178718969143548,30.24526214493239,6.257883085978904,30.187590892030123,0.07916411683535785,0.057671252902267156,0.09794350823632696
3.85,1,1,1,6.171299734192177,30.250773764290116,6.257883085978904,30.187590892030123,0.0865833517867145,0.06318287225999342,0.1071855967639524
