t,visible_targets,track_count,master_track_id,truth_az,truth_el,gimbal_ui_az,gimbal_el,err_az,err_el,err_total
0.0,1,0,-1,356.0,28.6,0.0,0.0,4.0,28.6,28.878365604722163
0.05,1,0,-1,356.0175,28.602500000000003,0.0,0.0,3.9825000000000728,28.602500000000003,28.87842295728769
0.1,1,1,1,356.035,28.605,0.0,0.0,3.964999999999918,28.605,28.878491130943793
0.15000000000000002,0,0,1,356.0525,28.6075,357.8,0.8,1.7475000000000023,27.8075,27.862354755117163
0.2,1,1,1,356.07,28.610000000000003,356.0,1.6,0.06999999999999318,27.01,27.010090706993193
0.25,1,1,1,356.0875,28.6125,356.0,2.4000000000000004,0.08749999999997726,26.2125,26.21264604155788
0.30000000000000004,1,1,1,356.105,28.615000000000002,356.0,3.2,0.10500000000001819,25.415000000000003,25.415216898543285
0.35000000000000003,0,0,1,356.1225,28.6175,356.0,4.0,0.12250000000000227,24.6175,24.617804786373622
0.4,1,1,1,356.14,28.62,356.0,4.800000000000001,0.13999999999998636,23.82,23.8204114154227
0.45,1,1,1,356.1575,28.622500000000002,356.0,5.6000000000000005,0.15750000000002728,23.0225,23.023038732973543
0.5,1,1,1,356.175,28.625,356.0,6.4,0.17500000000001137,22.225,22.22568896569913
0.55,1,1,1,356.1925,28.6275,356.0,7.2,0.19249999999999545,21.427500000000002,21.428364671621587
0.6000000000000001,1,1,1,356.21,28.630000000000003,356.2,8.0,0.009999999999990905,20.630000000000003,20.63000242365473
0.65,1,1,1,356.2275,28.6325,356.2,8.8,0.027500000000031832,19.8325,19.832519065917975
0.7000000000000001,1,1,1,356.245,28.635,356.2,9.600000000000001,0.045000000000015916,19.035,19.03505319141504
0.75,0,0,1,356.2625,28.637500000000003,356.2,10.4,0.0625,18.237500000000004,18.2376070935855
0.8,1,1,1,356.28,28.64,356.2,11.200000000000001,0.07999999999998408,17.439999999999998,17.44018348527331
0.8500000000000001,1,1,1,356.2975,28.642500000000002,356.2,12.0,0.09750000000002501,16.642500000000002,16.642785599171795
0.9,1,1,1,356.315,28.645000000000003,356.2,12.8,0.1150000000000091,15.845000000000002,15.845417318581422
0.9500000000000001,1,1,1,356.3325,28.6475,356.2,13.600000000000001,0.13249999999999318,15.0475,15.048083349716002
1.0,1,1,1,356.35,28.650000000000002,356.2,14.4,0.1500000000000341,14.250000000000002,14.250789451816347
1.05,1,1,1,356.3675,28.6525,356.2,15.200000000000001,0.1675000000000182,13.452499999999999,13.453542749030829
